date,encrypt text online,best private messaging app
2011-01-01,36,0
2011-02-01,51,0
2011-03-01,38,0
2011-04-01,25,0
2011-05-01,81,0
2011-06-01,55,0
2011-07-01,39,0
2011-08-01,66,0
2011-09-01,50,22
2011-10-01,61,20
2011-11-01,55,20
2011-12-01,41,18
2012-01-01,56,18
2012-02-01,45,18
2012-03-01,100,18
2012-04-01,51,38
2012-05-01,24,18
2012-06-01,73,18
2012-07-01,30,18
2012-08-01,90,18
2012-09-01,35,18
2012-10-01,27,27
2012-11-01,43,22
2012-12-01,76,33
2013-01-01,50,45
2013-02-01,38,16
2013-03-01,34,24
2013-04-01,50,15
2013-05-01,57,15
2013-06-01,49,15
2013-07-01,48,29
2013-08-01,48,14
2013-09-01,47,14
2013-10-01,63,27
2013-11-01,23,27
2013-12-01,97,13
2014-01-01,55,13
2014-02-01,77,14
2014-03-01,55,25
2014-04-01,82,26
2014-05-01,31,13
2014-06-01,58,36
2014-07-01,33,28
2014-08-01,43,33
2014-09-01,68,45
2014-10-01,52,39
2014-11-01,62,36
2014-12-01,74,35
2015-01-01,45,20
2015-02-01,62,53
2015-03-01,64,24
2015-04-01,66,16
2015-05-01,48,28
2015-06-01,43,24
2015-07-01,44,36
2015-08-01,80,48
2015-09-01,58,12
2015-10-01,82,45
2015-11-01,53,27
2015-12-01,69,43
2016-01-01,58,33
2016-02-01,76,27
2016-03-01,78,37
2016-04-01,84,21
2016-05-01,37,55
2016-06-01,42,18
2016-07-01,57,21
2016-08-01,76,59
2016-09-01,69,48
2016-10-01,62,55
2016-11-01,76,56
2016-12-01,39,36
2017-01-01,65,56
