date,software to decrypt encrypted files,best private messaging app
2011-01-01,34,0
2011-02-01,32,0
2011-03-01,32,0
2011-04-01,35,0
2011-05-01,67,0
2011-06-01,100,0
2011-07-01,33,0
2011-08-01,47,0
2011-09-01,61,31
2011-10-01,43,29
2011-11-01,29,29
2011-12-01,26,26
2012-01-01,26,26
2012-02-01,27,26
2012-03-01,52,26
2012-04-01,54,54
2012-05-01,25,26
2012-06-01,52,26
2012-07-01,26,25
2012-08-01,51,25
2012-09-01,38,25
2012-10-01,31,38
2012-11-01,23,31
2012-12-01,23,46
2013-01-01,53,63
2013-02-01,23,23
2013-03-01,21,34
2013-04-01,63,21
2013-05-01,21,21
2013-06-01,63,21
2013-07-01,41,41
2013-08-01,21,20
2013-09-01,40,20
2013-10-01,38,38
2013-11-01,38,38
2013-12-01,20,18
2014-01-01,36,18
2014-02-01,20,20
2014-03-01,54,36
2014-04-01,25,37
2014-05-01,28,19
2014-06-01,41,52
2014-07-01,20,40
2014-08-01,19,47
2014-09-01,19,64
2014-10-01,28,55
2014-11-01,28,50
2014-12-01,37,49
2015-01-01,52,29
2015-02-01,50,75
2015-03-01,23,34
2015-04-01,87,23
2015-05-01,45,40
2015-06-01,17,35
2015-07-01,17,52
2015-08-01,43,68
2015-09-01,50,17
2015-10-01,32,63
2015-11-01,40,38
2015-12-01,41,60
2016-01-01,21,47
2016-02-01,46,38
2016-03-01,22,53
2016-04-01,50,30
2016-05-01,36,78
2016-06-01,15,25
2016-07-01,20,30
2016-08-01,15,84
2016-09-01,49,68
2016-10-01,65,79
2016-11-01,28,79
2016-12-01,23,51
2017-01-01,26,80
