date,how to decrypt text,best private messaging app
2011-01-01,51,0
2011-02-01,50,0
2011-03-01,68,0
2011-04-01,66,0
2011-05-01,96,0
2011-06-01,46,0
2011-07-01,49,0
2011-08-01,72,0
2011-09-01,48,10
2011-10-01,55,9
2011-11-01,46,9
2011-12-01,51,8
2012-01-01,61,8
2012-02-01,58,8
2012-03-01,30,8
2012-04-01,63,17
2012-05-01,66,8
2012-06-01,74,8
2012-07-01,70,8
2012-08-01,64,8
2012-09-01,61,8
2012-10-01,60,12
2012-11-01,68,10
2012-12-01,54,15
2013-01-01,42,20
2013-02-01,76,7
2013-03-01,45,11
2013-04-01,58,7
2013-05-01,64,7
2013-06-01,75,7
2013-07-01,48,13
2013-08-01,60,6
2013-09-01,68,6
2013-10-01,64,12
2013-11-01,49,12
2013-12-01,49,6
2014-01-01,63,6
2014-02-01,58,6
2014-03-01,77,11
2014-04-01,58,12
2014-05-01,77,6
2014-06-01,43,16
2014-07-01,98,13
2014-08-01,57,15
2014-09-01,67,20
2014-10-01,79,17
2014-11-01,91,16
2014-12-01,60,16
2015-01-01,56,9
2015-02-01,81,24
2015-03-01,83,11
2015-04-01,64,7
2015-05-01,93,13
2015-06-01,60,11
2015-07-01,52,16
2015-08-01,68,21
2015-09-01,70,5
2015-10-01,65,20
2015-11-01,72,12
2015-12-01,54,19
2016-01-01,68,15
2016-02-01,73,12
2016-03-01,80,17
2016-04-01,82,9
2016-05-01,56,24
2016-06-01,68,8
2016-07-01,60,10
2016-08-01,81,26
2016-09-01,88,22
2016-10-01,74,25
2016-11-01,100,25
2016-12-01,63,16
2017-01-01,82,25
