date,decrypt text,best private messaging app
2011-01-01,58,0
2011-02-01,77,0
2011-03-01,82,0
2011-04-01,67,0
2011-05-01,86,0
2011-06-01,95,0
2011-07-01,79,0
2011-08-01,68,0
2011-09-01,67,3
2011-10-01,63,3
2011-11-01,66,3
2011-12-01,66,0
2012-01-01,51,0
2012-02-01,67,0
2012-03-01,56,0
2012-04-01,80,0
2012-05-01,67,0
2012-06-01,68,0
2012-07-01,72,0
2012-08-01,47,0
2012-09-01,68,2
2012-10-01,56,2
2012-11-01,64,2
2012-12-01,64,7
2013-01-01,60,4
2013-02-01,100,2
2013-03-01,49,3
2013-04-01,78,2
2013-05-01,65,2
2013-06-01,80,2
2013-07-01,63,4
2013-08-01,79,4
2013-09-01,76,4
2013-10-01,71,4
2013-11-01,75,4
2013-12-01,70,2
2014-01-01,64,2
2014-02-01,68,3
2014-03-01,79,4
2014-04-01,78,4
2014-05-01,77,2
2014-06-01,73,4
2014-07-01,83,5
2014-08-01,69,4
2014-09-01,87,8
2014-10-01,72,5
2014-11-01,90,6
2014-12-01,75,4
2015-01-01,58,3
2015-02-01,68,9
2015-03-01,82,2
2015-04-01,73,2
2015-05-01,80,3
2015-06-01,73,3
2015-07-01,76,6
2015-08-01,85,5
2015-09-01,72,2
2015-10-01,83,5
2015-11-01,79,3
2015-12-01,79,7
2016-01-01,80,6
2016-02-01,86,3
2016-03-01,86,5
2016-04-01,94,3
2016-05-01,82,9
2016-06-01,72,1
2016-07-01,77,3
2016-08-01,78,8
2016-09-01,85,7
2016-10-01,80,9
2016-11-01,99,6
2016-12-01,83,4
2017-01-01,87,9
