date,How to encrypt text messages,best private messaging app
2011-01-01,79,0
2011-02-01,33,0
2011-03-01,0,0
2011-04-01,32,0
2011-05-01,30,0
2011-06-01,0,0
2011-07-01,61,31
2011-08-01,87,0
2011-09-01,0,0
2011-10-01,53,0
2011-11-01,80,0
2011-12-01,53,0
2012-01-01,24,0
2012-02-01,51,25
2012-03-01,24,0
2012-04-01,25,0
2012-05-01,0,23
2012-06-01,60,0
2012-07-01,23,0
2012-08-01,0,0
2012-09-01,47,23
2012-10-01,21,21
2012-11-01,21,21
2012-12-01,21,21
2013-01-01,29,77
2013-02-01,43,22
2013-03-01,19,38
2013-04-01,19,19
2013-05-01,19,19
2013-06-01,39,39
2013-07-01,38,29
2013-08-01,19,19
2013-09-01,18,28
2013-10-01,18,26
2013-11-01,36,18
2013-12-01,54,18
2014-01-01,25,0
2014-02-01,55,18
2014-03-01,33,33
2014-04-01,42,42
2014-05-01,43,34
2014-06-01,58,38
2014-07-01,56,83
2014-08-01,28,55
2014-09-01,18,71
2014-10-01,59,34
2014-11-01,52,52
2014-12-01,51,68
2015-01-01,32,40
2015-02-01,69,34
2015-03-01,71,39
2015-04-01,57,16
2015-05-01,55,63
2015-06-01,32,40
2015-07-01,55,47
2015-08-01,23,62
2015-09-01,38,30
2015-10-01,36,66
2015-11-01,45,37
2015-12-01,53,38
2016-01-01,71,64
2016-02-01,14,57
2016-03-01,20,73
2016-04-01,48,34
2016-05-01,33,100
2016-06-01,34,41
2016-07-01,27,55
2016-08-01,54,74
2016-09-01,34,54
2016-10-01,83,32
2016-11-01,45,64
2016-12-01,96,64
2017-01-01,43,49
