date,aes cbc,best private messaging app
2011-01-01,43,0
2011-02-01,53,0
2011-03-01,47,0
2011-04-01,54,0
2011-05-01,46,0
2011-06-01,72,0
2011-07-01,59,0
2011-08-01,55,0
2011-09-01,54,3
2011-10-01,59,3
2011-11-01,64,3
2011-12-01,63,2
2012-01-01,63,2
2012-02-01,84,2
2012-03-01,65,2
2012-04-01,72,5
2012-05-01,61,3
2012-06-01,61,3
2012-07-01,67,2
2012-08-01,56,2
2012-09-01,64,2
2012-10-01,62,4
2012-11-01,71,3
2012-12-01,60,4
2013-01-01,54,6
2013-02-01,70,2
2013-03-01,61,3
2013-04-01,65,2
2013-05-01,59,2
2013-06-01,63,2
2013-07-01,71,4
2013-08-01,60,2
2013-09-01,67,2
2013-10-01,72,4
2013-11-01,72,4
2013-12-01,69,2
2014-01-01,72,2
2014-02-01,83,2
2014-03-01,79,3
2014-04-01,81,4
2014-05-01,69,2
2014-06-01,54,5
2014-07-01,79,4
2014-08-01,65,5
2014-09-01,70,6
2014-10-01,75,5
2014-11-01,66,5
2014-12-01,65,5
2015-01-01,79,3
2015-02-01,77,7
2015-03-01,95,3
2015-04-01,81,2
2015-05-01,87,4
2015-06-01,91,3
2015-07-01,72,5
2015-08-01,76,7
2015-09-01,74,2
2015-10-01,77,6
2015-11-01,80,4
2015-12-01,83,6
2016-01-01,68,4
2016-02-01,77,4
2016-03-01,90,5
2016-04-01,87,3
2016-05-01,89,7
2016-06-01,92,2
2016-07-01,85,3
2016-08-01,96,8
2016-09-01,100,7
2016-10-01,89,8
2016-11-01,89,8
2016-12-01,88,5
2017-01-01,78,8
