date,online decryption tool without key,best private messaging app
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,37
2011-10-01,0,35
2011-11-01,35,35
2011-12-01,0,31
2012-01-01,0,31
2012-02-01,0,31
2012-03-01,0,31
2012-04-01,0,65
2012-05-01,0,31
2012-06-01,0,31
2012-07-01,0,30
2012-08-01,0,30
2012-09-01,0,30
2012-10-01,0,46
2012-11-01,0,37
2012-12-01,0,55
2013-01-01,0,76
2013-02-01,0,28
2013-03-01,0,41
2013-04-01,0,25
2013-05-01,0,25
2013-06-01,0,25
2013-07-01,0,49
2013-08-01,0,24
2013-09-01,0,24
2013-10-01,0,46
2013-11-01,23,46
2013-12-01,21,22
2014-01-01,21,22
2014-02-01,21,24
2014-03-01,21,43
2014-04-01,0,44
2014-05-01,0,22
2014-06-01,0,62
2014-07-01,0,48
2014-08-01,0,56
2014-09-01,23,77
2014-10-01,22,66
2014-11-01,22,60
2014-12-01,22,59
2015-01-01,24,34
2015-02-01,25,89
2015-03-01,27,41
2015-04-01,29,28
2015-05-01,31,48
2015-06-01,21,41
2015-07-01,21,62
2015-08-01,20,81
2015-09-01,20,20
2015-10-01,19,76
2015-11-01,19,45
2015-12-01,20,72
2016-01-01,18,55
2016-02-01,18,46
2016-03-01,34,63
2016-04-01,18,35
2016-05-01,18,92
2016-06-01,18,30
2016-07-01,18,36
2016-08-01,35,100
2016-09-01,18,82
2016-10-01,30,94
2016-11-01,42,95
2016-12-01,17,61
2017-01-01,37,95
