date,decrypt message,best private messaging app
2011-01-01,31,0
2011-02-01,66,0
2011-03-01,55,0
2011-04-01,59,0
2011-05-01,43,0
2011-06-01,33,0
2011-07-01,47,0
2011-08-01,34,0
2011-09-01,46,4
2011-10-01,50,4
2011-11-01,48,4
2011-12-01,36,4
2012-01-01,36,4
2012-02-01,58,4
2012-03-01,57,4
2012-04-01,75,8
2012-05-01,58,4
2012-06-01,66,4
2012-07-01,42,4
2012-08-01,46,4
2012-09-01,42,4
2012-10-01,40,5
2012-11-01,65,4
2012-12-01,39,6
2013-01-01,37,9
2013-02-01,42,3
2013-03-01,50,5
2013-04-01,58,3
2013-05-01,60,3
2013-06-01,62,3
2013-07-01,39,6
2013-08-01,43,3
2013-09-01,54,3
2013-10-01,65,5
2013-11-01,66,5
2013-12-01,58,3
2014-01-01,51,3
2014-02-01,68,3
2014-03-01,75,5
2014-04-01,79,5
2014-05-01,67,3
2014-06-01,59,7
2014-07-01,58,6
2014-08-01,60,7
2014-09-01,84,9
2014-10-01,79,8
2014-11-01,88,7
2014-12-01,69,7
2015-01-01,53,4
2015-02-01,71,10
2015-03-01,83,5
2015-04-01,92,3
2015-05-01,57,6
2015-06-01,67,5
2015-07-01,59,7
2015-08-01,70,10
2015-09-01,84,2
2015-10-01,90,9
2015-11-01,95,5
2015-12-01,74,8
2016-01-01,66,7
2016-02-01,76,5
2016-03-01,87,7
2016-04-01,92,4
2016-05-01,92,11
2016-06-01,69,3
2016-07-01,87,4
2016-08-01,84,12
2016-09-01,100,10
2016-10-01,90,11
2016-11-01,96,11
2016-12-01,89,7
2017-01-01,84,11
