date,aes encryption algorithm,best private messaging app
2011-01-01,56,0
2011-02-01,72,0
2011-03-01,66,0
2011-04-01,71,0
2011-05-01,50,0
2011-06-01,48,0
2011-07-01,56,0
2011-08-01,59,0
2011-09-01,47,5
2011-10-01,55,4
2011-11-01,68,4
2011-12-01,63,4
2012-01-01,46,4
2012-02-01,85,4
2012-03-01,73,4
2012-04-01,78,8
2012-05-01,73,4
2012-06-01,69,4
2012-07-01,65,4
2012-08-01,78,4
2012-09-01,68,4
2012-10-01,66,6
2012-11-01,82,5
2012-12-01,75,7
2013-01-01,78,9
2013-02-01,74,3
2013-03-01,89,5
2013-04-01,86,3
2013-05-01,65,3
2013-06-01,83,3
2013-07-01,70,6
2013-08-01,66,3
2013-09-01,65,3
2013-10-01,69,6
2013-11-01,81,6
2013-12-01,73,3
2014-01-01,76,3
2014-02-01,100,3
2014-03-01,97,5
2014-04-01,100,5
2014-05-01,79,3
2014-06-01,51,8
2014-07-01,68,6
2014-08-01,61,7
2014-09-01,86,10
2014-10-01,71,8
2014-11-01,82,8
2014-12-01,59,7
2015-01-01,70,4
2015-02-01,85,11
2015-03-01,88,5
2015-04-01,85,3
2015-05-01,74,6
2015-06-01,71,5
2015-07-01,72,8
2015-08-01,59,10
2015-09-01,71,2
2015-10-01,100,9
2015-11-01,78,6
2015-12-01,59,9
2016-01-01,65,7
2016-02-01,88,6
2016-03-01,84,8
2016-04-01,83,4
2016-05-01,76,12
2016-06-01,64,4
2016-07-01,60,5
2016-08-01,79,13
2016-09-01,65,10
2016-10-01,82,12
2016-11-01,81,12
2016-12-01,67,8
2017-01-01,69,12
