date,skype security risks,skype privacy policy
2011-01-01,100,27
2011-02-01,63,43
2011-03-01,75,32
2011-04-01,48,42
2011-05-01,63,20
2011-06-01,78,20
2011-07-01,78,40
2011-08-01,46,19
2011-09-01,47,42
2011-10-01,51,17
2011-11-01,34,35
2011-12-01,61,23
2012-01-01,62,21
2012-02-01,58,33
2012-03-01,35,38
2012-04-01,58,37
2012-05-01,39,52
2012-06-01,46,31
2012-07-01,35,36
2012-08-01,40,15
2012-09-01,34,15
2012-10-01,33,27
2012-11-01,14,14
2012-12-01,14,14
2013-01-01,41,34
2013-02-01,27,28
2013-03-01,36,33
2013-04-01,12,25
2013-05-01,12,36
2013-06-01,12,25
2013-07-01,18,33
2013-08-01,12,41
2013-09-01,20,36
2013-10-01,19,11
2013-11-01,23,31
2013-12-01,11,31
2014-01-01,14,33
2014-02-01,12,24
2014-03-01,10,21
2014-04-01,11,18
2014-05-01,21,28
2014-06-01,31,45
2014-07-01,41,16
2014-08-01,18,16
2014-09-01,34,27
2014-10-01,21,33
2014-11-01,18,11
2014-12-01,16,17
2015-01-01,25,14
2015-02-01,18,22
2015-03-01,23,20
2015-04-01,27,16
2015-05-01,20,25
2015-06-01,24,28
2015-07-01,10,20
2015-08-01,15,25
2015-09-01,23,26
2015-10-01,18,19
2015-11-01,13,19
2015-12-01,22,24
2016-01-01,21,9
2016-02-01,9,43
2016-03-01,8,26
2016-04-01,12,24
2016-05-01,17,35
2016-06-01,22,27
2016-07-01,9,18
2016-08-01,26,21
2016-09-01,9,20
2016-10-01,11,28
2016-11-01,25,21
2016-12-01,8,17
2017-01-01,8,16
