date,best skype video recorder,skype privacy policy
2011-01-01,28,25
2011-02-01,78,40
2011-03-01,52,30
2011-04-01,47,38
2011-05-01,58,18
2011-06-01,54,19
2011-07-01,36,37
2011-08-01,90,17
2011-09-01,49,39
2011-10-01,57,16
2011-11-01,78,32
2011-12-01,66,21
2012-01-01,76,19
2012-02-01,64,30
2012-03-01,74,35
2012-04-01,53,35
2012-05-01,36,48
2012-06-01,75,29
2012-07-01,74,33
2012-08-01,100,14
2012-09-01,63,14
2012-10-01,29,25
2012-11-01,54,13
2012-12-01,79,13
2013-01-01,53,31
2013-02-01,62,26
2013-03-01,56,30
2013-04-01,79,23
2013-05-01,77,34
2013-06-01,94,23
2013-07-01,81,30
2013-08-01,29,38
2013-09-01,36,33
2013-10-01,34,10
2013-11-01,52,29
2013-12-01,56,29
2014-01-01,68,30
2014-02-01,64,22
2014-03-01,38,20
2014-04-01,56,17
2014-05-01,25,26
2014-06-01,45,42
2014-07-01,47,15
2014-08-01,43,15
2014-09-01,45,25
2014-10-01,36,30
2014-11-01,67,10
2014-12-01,63,15
2015-01-01,56,13
2015-02-01,61,21
2015-03-01,58,19
2015-04-01,56,14
2015-05-01,40,23
2015-06-01,68,25
2015-07-01,31,19
2015-08-01,55,23
2015-09-01,39,24
2015-10-01,55,17
2015-11-01,49,18
2015-12-01,59,23
2016-01-01,53,9
2016-02-01,39,40
2016-03-01,57,24
2016-04-01,46,22
2016-05-01,52,32
2016-06-01,48,25
2016-07-01,43,16
2016-08-01,45,19
2016-09-01,34,19
2016-10-01,77,25
2016-11-01,53,19
2016-12-01,45,15
2017-01-01,54,14
