date,evaer skype video recorder,skype privacy policy
2011-01-01,5,7
2011-02-01,11,12
2011-03-01,15,9
2011-04-01,15,11
2011-05-01,25,5
2011-06-01,33,5
2011-07-01,42,11
2011-08-01,52,5
2011-09-01,49,11
2011-10-01,63,5
2011-11-01,53,9
2011-12-01,34,6
2012-01-01,68,6
2012-02-01,58,9
2012-03-01,82,10
2012-04-01,81,10
2012-05-01,72,14
2012-06-01,74,8
2012-07-01,76,10
2012-08-01,97,4
2012-09-01,100,4
2012-10-01,79,7
2012-11-01,65,4
2012-12-01,82,4
2013-01-01,89,9
2013-02-01,76,7
2013-03-01,64,9
2013-04-01,72,7
2013-05-01,72,10
2013-06-01,65,7
2013-07-01,59,9
2013-08-01,61,11
2013-09-01,60,10
2013-10-01,57,3
2013-11-01,76,8
2013-12-01,55,8
2014-01-01,67,9
2014-02-01,41,6
2014-03-01,62,6
2014-04-01,55,5
2014-05-01,61,7
2014-06-01,60,12
2014-07-01,84,4
2014-08-01,66,4
2014-09-01,41,7
2014-10-01,47,9
2014-11-01,60,3
2014-12-01,84,4
2015-01-01,50,4
2015-02-01,50,6
2015-03-01,62,5
2015-04-01,46,4
2015-05-01,44,7
2015-06-01,33,7
2015-07-01,44,5
2015-08-01,30,7
2015-09-01,36,7
2015-10-01,39,5
2015-11-01,44,5
2015-12-01,39,7
2016-01-01,30,2
2016-02-01,21,11
2016-03-01,31,7
2016-04-01,24,6
2016-05-01,38,9
2016-06-01,19,7
2016-07-01,17,5
2016-08-01,35,6
2016-09-01,37,5
2016-10-01,24,7
2016-11-01,23,6
2016-12-01,14,4
2017-01-01,12,4
