date,twitter full site login
2011-01-01,5
2011-02-01,6
2011-03-01,8
2011-04-01,10
2011-05-01,12
2011-06-01,9
2011-07-01,9
2011-08-01,9
2011-09-01,14
2011-10-01,23
2011-11-01,40
2011-12-01,54
2012-01-01,45
2012-02-01,100
2012-03-01,74
2012-04-01,82
2012-05-01,39
2012-06-01,40
2012-07-01,38
2012-08-01,38
2012-09-01,42
2012-10-01,82
2012-11-01,63
2012-12-01,52
2013-01-01,52
2013-02-01,18
2013-03-01,39
2013-04-01,30
2013-05-01,48
2013-06-01,28
2013-07-01,11
2013-08-01,19
2013-09-01,34
2013-10-01,21
2013-11-01,19
2013-12-01,21
2014-01-01,13
2014-02-01,10
2014-03-01,14
2014-04-01,16
2014-05-01,13
2014-06-01,6
2014-07-01,9
2014-08-01,14
2014-09-01,8
2014-10-01,8
2014-11-01,19
2014-12-01,6
2015-01-01,10
2015-02-01,4
2015-03-01,9
2015-04-01,15
2015-05-01,5
2015-06-01,8
2015-07-01,5
2015-08-01,6
2015-09-01,11
2015-10-01,8
2015-11-01,8
2015-12-01,16
2016-01-01,16
2016-02-01,11
2016-03-01,12
2016-04-01,9
2016-05-01,8
2016-06-01,8
2016-07-01,12
2016-08-01,6
2016-09-01,7
2016-10-01,10
2016-11-01,12
2016-12-01,8
2017-01-01,13
