date,trending on twitter india
2011-01-01,15
2011-02-01,16
2011-03-01,15
2011-04-01,15
2011-05-01,14
2011-06-01,14
2011-07-01,14
2011-08-01,14
2011-09-01,19
2011-10-01,25
2011-11-01,12
2011-12-01,12
2012-01-01,23
2012-02-01,18
2012-03-01,11
2012-04-01,16
2012-05-01,22
2012-06-01,17
2012-07-01,22
2012-08-01,18
2012-09-01,33
2012-10-01,10
2012-11-01,17
2012-12-01,15
2013-01-01,9
2013-02-01,20
2013-03-01,21
2013-04-01,15
2013-05-01,9
2013-06-01,9
2013-07-01,9
2013-08-01,27
2013-09-01,12
2013-10-01,21
2013-11-01,31
2013-12-01,23
2014-01-01,47
2014-02-01,20
2014-03-01,15
2014-04-01,24
2014-05-01,24
2014-06-01,27
2014-07-01,20
2014-08-01,17
2014-09-01,20
2014-10-01,35
2014-11-01,38
2014-12-01,35
2015-01-01,78
2015-02-01,51
2015-03-01,72
2015-04-01,66
2015-05-01,86
2015-06-01,53
2015-07-01,60
2015-08-01,42
2015-09-01,36
2015-10-01,36
2015-11-01,74
2015-12-01,83
2016-01-01,80
2016-02-01,51
2016-03-01,100
2016-04-01,67
2016-05-01,29
2016-06-01,67
2016-07-01,48
2016-08-01,51
2016-09-01,89
2016-10-01,72
2016-11-01,97
2016-12-01,73
2017-01-01,78
