date,delete all tweets free
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,19
2011-05-01,17
2011-06-01,17
2011-07-01,17
2011-08-01,17
2011-09-01,16
2011-10-01,15
2011-11-01,31
2011-12-01,15
2012-01-01,28
2012-02-01,29
2012-03-01,14
2012-04-01,29
2012-05-01,20
2012-06-01,21
2012-07-01,14
2012-08-01,47
2012-09-01,27
2012-10-01,24
2012-11-01,12
2012-12-01,31
2013-01-01,33
2013-02-01,43
2013-03-01,27
2013-04-01,33
2013-05-01,33
2013-06-01,34
2013-07-01,66
2013-08-01,44
2013-09-01,32
2013-10-01,10
2013-11-01,26
2013-12-01,26
2014-01-01,29
2014-02-01,31
2014-03-01,23
2014-04-01,29
2014-05-01,30
2014-06-01,11
2014-07-01,16
2014-08-01,21
2014-09-01,10
2014-10-01,10
2014-11-01,20
2014-12-01,39
2015-01-01,23
2015-02-01,35
2015-03-01,32
2015-04-01,42
2015-05-01,27
2015-06-01,14
2015-07-01,9
2015-08-01,40
2015-09-01,62
2015-10-01,54
2015-11-01,30
2015-12-01,30
2016-01-01,41
2016-02-01,78
2016-03-01,54
2016-04-01,83
2016-05-01,100
2016-06-01,51
2016-07-01,68
2016-08-01,62
2016-09-01,43
2016-10-01,48
2016-11-01,48
2016-12-01,55
2017-01-01,77
