date,twitter app for android free download apk
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,47
2011-10-01,44
2011-11-01,44
2011-12-01,44
2012-01-01,42
2012-02-01,42
2012-03-01,40
2012-04-01,41
2012-05-01,38
2012-06-01,39
2012-07-01,39
2012-08-01,39
2012-09-01,39
2012-10-01,35
2012-11-01,54
2012-12-01,72
2013-01-01,80
2013-02-01,78
2013-03-01,78
2013-04-01,32
2013-05-01,31
2013-06-01,48
2013-07-01,32
2013-08-01,31
2013-09-01,31
2013-10-01,39
2013-11-01,44
2013-12-01,45
2014-01-01,56
2014-02-01,31
2014-03-01,27
2014-04-01,28
2014-05-01,76
2014-06-01,79
2014-07-01,77
2014-08-01,31
2014-09-01,49
2014-10-01,56
2014-11-01,29
2014-12-01,28
2015-01-01,62
2015-02-01,29
2015-03-01,26
2015-04-01,54
2015-05-01,52
2015-06-01,44
2015-07-01,66
2015-08-01,26
2015-09-01,37
2015-10-01,49
2015-11-01,33
2015-12-01,50
2016-01-01,47
2016-02-01,35
2016-03-01,59
2016-04-01,38
2016-05-01,33
2016-06-01,57
2016-07-01,38
2016-08-01,45
2016-09-01,45
2016-10-01,35
2016-11-01,100
2016-12-01,57
2017-01-01,74
