date,how to delete a twitter account
2011-01-01,10
2011-02-01,13
2011-03-01,17
2011-04-01,10
2011-05-01,15
2011-06-01,24
2011-07-01,31
2011-08-01,29
2011-09-01,28
2011-10-01,27
2011-11-01,33
2011-12-01,37
2012-01-01,45
2012-02-01,42
2012-03-01,38
2012-04-01,48
2012-05-01,45
2012-06-01,52
2012-07-01,58
2012-08-01,67
2012-09-01,62
2012-10-01,56
2012-11-01,55
2012-12-01,62
2013-01-01,71
2013-02-01,74
2013-03-01,60
2013-04-01,50
2013-05-01,57
2013-06-01,66
2013-07-01,63
2013-08-01,65
2013-09-01,57
2013-10-01,54
2013-11-01,53
2013-12-01,59
2014-01-01,76
2014-02-01,84
2014-03-01,70
2014-04-01,62
2014-05-01,62
2014-06-01,67
2014-07-01,85
2014-08-01,74
2014-09-01,68
2014-10-01,73
2014-11-01,73
2014-12-01,73
2015-01-01,90
2015-02-01,69
2015-03-01,65
2015-04-01,66
2015-05-01,78
2015-06-01,100
2015-07-01,77
2015-08-01,64
2015-09-01,68
2015-10-01,78
2015-11-01,76
2015-12-01,76
2016-01-01,74
2016-02-01,51
2016-03-01,66
2016-04-01,70
2016-05-01,63
2016-06-01,67
2016-07-01,71
2016-08-01,68
2016-09-01,69
2016-10-01,58
2016-11-01,64
2016-12-01,62
2017-01-01,78
