date,how to change twitch username
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,9
2012-03-01,8
2012-04-01,8
2012-05-01,8
2012-06-01,9
2012-07-01,9
2012-08-01,17
2012-09-01,9
2012-10-01,8
2012-11-01,12
2012-12-01,8
2013-01-01,7
2013-02-01,8
2013-03-01,9
2013-04-01,21
2013-05-01,7
2013-06-01,11
2013-07-01,23
2013-08-01,26
2013-09-01,11
2013-10-01,13
2013-11-01,26
2013-12-01,35
2014-01-01,29
2014-02-01,40
2014-03-01,54
2014-04-01,44
2014-05-01,55
2014-06-01,49
2014-07-01,57
2014-08-01,71
2014-09-01,48
2014-10-01,42
2014-11-01,45
2014-12-01,36
2015-01-01,63
2015-02-01,70
2015-03-01,58
2015-04-01,65
2015-05-01,66
2015-06-01,53
2015-07-01,82
2015-08-01,100
2015-09-01,62
2015-10-01,66
2015-11-01,60
2015-12-01,57
2016-01-01,79
2016-02-01,61
2016-03-01,70
2016-04-01,63
2016-05-01,56
2016-06-01,75
2016-07-01,97
2016-08-01,77
2016-09-01,51
2016-10-01,60
2016-11-01,35
2016-12-01,68
2017-01-01,93
