date,twitter account login
2011-01-01,37
2011-02-01,37
2011-03-01,38
2011-04-01,41
2011-05-01,52
2011-06-01,55
2011-07-01,73
2011-08-01,61
2011-09-01,50
2011-10-01,43
2011-11-01,41
2011-12-01,37
2012-01-01,43
2012-02-01,65
2012-03-01,64
2012-04-01,59
2012-05-01,52
2012-06-01,56
2012-07-01,56
2012-08-01,68
2012-09-01,52
2012-10-01,55
2012-11-01,50
2012-12-01,47
2013-01-01,44
2013-02-01,49
2013-03-01,53
2013-04-01,58
2013-05-01,56
2013-06-01,59
2013-07-01,55
2013-08-01,69
2013-09-01,63
2013-10-01,62
2013-11-01,59
2013-12-01,57
2014-01-01,58
2014-02-01,63
2014-03-01,62
2014-04-01,78
2014-05-01,80
2014-06-01,65
2014-07-01,51
2014-08-01,79
2014-09-01,63
2014-10-01,56
2014-11-01,52
2014-12-01,58
2015-01-01,69
2015-02-01,62
2015-03-01,61
2015-04-01,59
2015-05-01,60
2015-06-01,66
2015-07-01,58
2015-08-01,68
2015-09-01,80
2015-10-01,91
2015-11-01,77
2015-12-01,82
2016-01-01,74
2016-02-01,67
2016-03-01,74
2016-04-01,77
2016-05-01,75
2016-06-01,72
2016-07-01,98
2016-08-01,100
2016-09-01,93
2016-10-01,87
2016-11-01,95
2016-12-01,86
2017-01-01,99
