date,facebook widget
2011-01-01,98
2011-02-01,97
2011-03-01,100
2011-04-01,90
2011-05-01,85
2011-06-01,95
2011-07-01,93
2011-08-01,87
2011-09-01,88
2011-10-01,91
2011-11-01,82
2011-12-01,74
2012-01-01,83
2012-02-01,84
2012-03-01,78
2012-04-01,75
2012-05-01,74
2012-06-01,74
2012-07-01,78
2012-08-01,72
2012-09-01,76
2012-10-01,73
2012-11-01,65
2012-12-01,63
2013-01-01,69
2013-02-01,71
2013-03-01,68
2013-04-01,64
2013-05-01,67
2013-06-01,68
2013-07-01,66
2013-08-01,60
2013-09-01,58
2013-10-01,59
2013-11-01,56
2013-12-01,51
2014-01-01,54
2014-02-01,53
2014-03-01,52
2014-04-01,49
2014-05-01,47
2014-06-01,43
2014-07-01,39
2014-08-01,41
2014-09-01,44
2014-10-01,44
2014-11-01,39
2014-12-01,37
2015-01-01,40
2015-02-01,39
2015-03-01,41
2015-04-01,37
2015-05-01,38
2015-06-01,36
2015-07-01,38
2015-08-01,34
2015-09-01,33
2015-10-01,32
2015-11-01,28
2015-12-01,29
2016-01-01,32
2016-02-01,68
2016-03-01,42
2016-04-01,34
2016-05-01,28
2016-06-01,29
2016-07-01,26
2016-08-01,26
2016-09-01,22
2016-10-01,23
2016-11-01,24
2016-12-01,19
2017-01-01,24
