date,twitter search engine
2011-01-01,64
2011-02-01,87
2011-03-01,79
2011-04-01,73
2011-05-01,95
2011-06-01,83
2011-07-01,83
2011-08-01,81
2011-09-01,77
2011-10-01,100
2011-11-01,91
2011-12-01,96
2012-01-01,93
2012-02-01,99
2012-03-01,96
2012-04-01,87
2012-05-01,88
2012-06-01,69
2012-07-01,84
2012-08-01,73
2012-09-01,83
2012-10-01,90
2012-11-01,87
2012-12-01,77
2013-01-01,92
2013-02-01,83
2013-03-01,100
2013-04-01,91
2013-05-01,70
2013-06-01,72
2013-07-01,58
2013-08-01,67
2013-09-01,80
2013-10-01,73
2013-11-01,72
2013-12-01,49
2014-01-01,69
2014-02-01,60
2014-03-01,57
2014-04-01,60
2014-05-01,56
2014-06-01,52
2014-07-01,56
2014-08-01,58
2014-09-01,61
2014-10-01,57
2014-11-01,63
2014-12-01,52
2015-01-01,63
2015-02-01,57
2015-03-01,57
2015-04-01,66
2015-05-01,58
2015-06-01,54
2015-07-01,52
2015-08-01,58
2015-09-01,49
2015-10-01,43
2015-11-01,54
2015-12-01,50
2016-01-01,54
2016-02-01,52
2016-03-01,48
2016-04-01,53
2016-05-01,39
2016-06-01,46
2016-07-01,40
2016-08-01,51
2016-09-01,37
2016-10-01,47
2016-11-01,48
2016-12-01,34
2017-01-01,44
