date,twitter timeline widget
2011-01-01,10
2011-02-01,6
2011-03-01,4
2011-04-01,11
2011-05-01,7
2011-06-01,10
2011-07-01,7
2011-08-01,7
2011-09-01,13
2011-10-01,12
2011-11-01,15
2011-12-01,8
2012-01-01,12
2012-02-01,9
2012-03-01,12
2012-04-01,8
2012-05-01,7
2012-06-01,11
2012-07-01,10
2012-08-01,8
2012-09-01,51
2012-10-01,40
2012-11-01,44
2012-12-01,30
2013-01-01,38
2013-02-01,46
2013-03-01,49
2013-04-01,39
2013-05-01,58
2013-06-01,100
2013-07-01,63
2013-08-01,61
2013-09-01,54
2013-10-01,51
2013-11-01,43
2013-12-01,43
2014-01-01,41
2014-02-01,54
2014-03-01,43
2014-04-01,38
2014-05-01,43
2014-06-01,39
2014-07-01,45
2014-08-01,35
2014-09-01,42
2014-10-01,31
2014-11-01,30
2014-12-01,33
2015-01-01,46
2015-02-01,33
2015-03-01,37
2015-04-01,33
2015-05-01,29
2015-06-01,39
2015-07-01,28
2015-08-01,31
2015-09-01,37
2015-10-01,32
2015-11-01,27
2015-12-01,20
2016-01-01,33
2016-02-01,43
2016-03-01,33
2016-04-01,30
2016-05-01,25
2016-06-01,34
2016-07-01,33
2016-08-01,34
2016-09-01,30
2016-10-01,29
2016-11-01,25
2016-12-01,15
2017-01-01,24
