date,deactivate twitter on mobile
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,9
2011-06-01,6
2011-07-01,6
2011-08-01,11
2011-09-01,11
2011-10-01,14
2011-11-01,8
2011-12-01,5
2012-01-01,10
2012-02-01,5
2012-03-01,5
2012-04-01,21
2012-05-01,20
2012-06-01,25
2012-07-01,37
2012-08-01,23
2012-09-01,11
2012-10-01,32
2012-11-01,35
2012-12-01,40
2013-01-01,67
2013-02-01,49
2013-03-01,47
2013-04-01,34
2013-05-01,40
2013-06-01,51
2013-07-01,70
2013-08-01,39
2013-09-01,32
2013-10-01,29
2013-11-01,30
2013-12-01,37
2014-01-01,69
2014-02-01,44
2014-03-01,31
2014-04-01,47
2014-05-01,66
2014-06-01,74
2014-07-01,49
2014-08-01,38
2014-09-01,53
2014-10-01,43
2014-11-01,66
2014-12-01,64
2015-01-01,69
2015-02-01,58
2015-03-01,63
2015-04-01,100
2015-05-01,100
2015-06-01,68
2015-07-01,72
2015-08-01,70
2015-09-01,82
2015-10-01,62
2015-11-01,90
2015-12-01,67
2016-01-01,61
2016-02-01,63
2016-03-01,58
2016-04-01,60
2016-05-01,67
2016-06-01,67
2016-07-01,79
2016-08-01,82
2016-09-01,68
2016-10-01,40
2016-11-01,42
2016-12-01,73
2017-01-01,66
