date,twitter account settings
2011-01-01,18
2011-02-01,17
2011-03-01,21
2011-04-01,32
2011-05-01,55
2011-06-01,54
2011-07-01,76
2011-08-01,61
2011-09-01,78
2011-10-01,99
2011-11-01,100
2011-12-01,88
2012-01-01,66
2012-02-01,80
2012-03-01,68
2012-04-01,73
2012-05-01,76
2012-06-01,65
2012-07-01,73
2012-08-01,75
2012-09-01,55
2012-10-01,51
2012-11-01,47
2012-12-01,59
2013-01-01,48
2013-02-01,45
2013-03-01,39
2013-04-01,37
2013-05-01,43
2013-06-01,52
2013-07-01,51
2013-08-01,57
2013-09-01,48
2013-10-01,33
2013-11-01,32
2013-12-01,30
2014-01-01,42
2014-02-01,32
2014-03-01,35
2014-04-01,36
2014-05-01,37
2014-06-01,36
2014-07-01,39
2014-08-01,42
2014-09-01,32
2014-10-01,42
2014-11-01,48
2014-12-01,49
2015-01-01,55
2015-02-01,43
2015-03-01,49
2015-04-01,51
2015-05-01,41
2015-06-01,52
2015-07-01,59
2015-08-01,54
2015-09-01,47
2015-10-01,37
2015-11-01,36
2015-12-01,37
2016-01-01,34
2016-02-01,26
2016-03-01,31
2016-04-01,31
2016-05-01,36
2016-06-01,46
2016-07-01,49
2016-08-01,34
2016-09-01,32
2016-10-01,41
2016-11-01,37
2016-12-01,42
2017-01-01,57
