date,twitter username generator
2011-01-01,35
2011-02-01,30
2011-03-01,46
2011-04-01,58
2011-05-01,40
2011-06-01,65
2011-07-01,60
2011-08-01,77
2011-09-01,69
2011-10-01,71
2011-11-01,86
2011-12-01,80
2012-01-01,70
2012-02-01,91
2012-03-01,79
2012-04-01,100
2012-05-01,94
2012-06-01,92
2012-07-01,76
2012-08-01,81
2012-09-01,69
2012-10-01,83
2012-11-01,77
2012-12-01,61
2013-01-01,55
2013-02-01,69
2013-03-01,63
2013-04-01,65
2013-05-01,57
2013-06-01,58
2013-07-01,79
2013-08-01,62
2013-09-01,53
2013-10-01,45
2013-11-01,53
2013-12-01,60
2014-01-01,70
2014-02-01,66
2014-03-01,64
2014-04-01,65
2014-05-01,67
2014-06-01,68
2014-07-01,80
2014-08-01,61
2014-09-01,51
2014-10-01,58
2014-11-01,75
2014-12-01,54
2015-01-01,58
2015-02-01,48
2015-03-01,59
2015-04-01,50
2015-05-01,52
2015-06-01,50
2015-07-01,58
2015-08-01,41
2015-09-01,43
2015-10-01,43
2015-11-01,38
2015-12-01,54
2016-01-01,43
2016-02-01,39
2016-03-01,30
2016-04-01,51
2016-05-01,48
2016-06-01,44
2016-07-01,48
2016-08-01,43
2016-09-01,34
2016-10-01,28
2016-11-01,49
2016-12-01,33
2017-01-01,34
