date,download twitter for mobile nokia
2011-01-01,43
2011-02-01,53
2011-03-01,47
2011-04-01,72
2011-05-01,56
2011-06-01,65
2011-07-01,56
2011-08-01,65
2011-09-01,82
2011-10-01,89
2011-11-01,92
2011-12-01,69
2012-01-01,73
2012-02-01,95
2012-03-01,76
2012-04-01,71
2012-05-01,50
2012-06-01,85
2012-07-01,83
2012-08-01,100
2012-09-01,68
2012-10-01,57
2012-11-01,46
2012-12-01,48
2013-01-01,58
2013-02-01,57
2013-03-01,52
2013-04-01,50
2013-05-01,51
2013-06-01,65
2013-07-01,63
2013-08-01,60
2013-09-01,45
2013-10-01,35
2013-11-01,39
2013-12-01,45
2014-01-01,39
2014-02-01,18
2014-03-01,36
2014-04-01,36
2014-05-01,30
2014-06-01,27
2014-07-01,37
2014-08-01,19
2014-09-01,46
2014-10-01,21
2014-11-01,19
2014-12-01,11
2015-01-01,15
2015-02-01,13
2015-03-01,25
2015-04-01,22
2015-05-01,18
2015-06-01,17
2015-07-01,13
2015-08-01,21
2015-09-01,14
2015-10-01,10
2015-11-01,16
2015-12-01,10
2016-01-01,11
2016-02-01,13
2016-03-01,12
2016-04-01,12
2016-05-01,10
2016-06-01,8
2016-07-01,10
2016-08-01,10
2016-09-01,10
2016-10-01,13
2016-11-01,11
2016-12-01,13
2017-01-01,14
