date,twitter search friends
2011-01-01,40
2011-02-01,60
2011-03-01,40
2011-04-01,46
2011-05-01,44
2011-06-01,62
2011-07-01,68
2011-08-01,91
2011-09-01,83
2011-10-01,59
2011-11-01,58
2011-12-01,69
2012-01-01,54
2012-02-01,59
2012-03-01,92
2012-04-01,86
2012-05-01,78
2012-06-01,73
2012-07-01,84
2012-08-01,92
2012-09-01,72
2012-10-01,63
2012-11-01,69
2012-12-01,78
2013-01-01,79
2013-02-01,66
2013-03-01,72
2013-04-01,100
2013-05-01,82
2013-06-01,77
2013-07-01,67
2013-08-01,84
2013-09-01,73
2013-10-01,78
2013-11-01,80
2013-12-01,72
2014-01-01,63
2014-02-01,52
2014-03-01,47
2014-04-01,49
2014-05-01,58
2014-06-01,54
2014-07-01,67
2014-08-01,43
2014-09-01,72
2014-10-01,65
2014-11-01,56
2014-12-01,46
2015-01-01,84
2015-02-01,54
2015-03-01,35
2015-04-01,49
2015-05-01,44
2015-06-01,43
2015-07-01,42
2015-08-01,55
2015-09-01,55
2015-10-01,45
2015-11-01,54
2015-12-01,45
2016-01-01,66
2016-02-01,50
2016-03-01,53
2016-04-01,38
2016-05-01,44
2016-06-01,41
2016-07-01,38
2016-08-01,39
2016-09-01,40
2016-10-01,41
2016-11-01,51
2016-12-01,48
2017-01-01,48
