date,deactivate twitter
2011-01-01,7
2011-02-01,7
2011-03-01,8
2011-04-01,10
2011-05-01,12
2011-06-01,13
2011-07-01,15
2011-08-01,19
2011-09-01,18
2011-10-01,20
2011-11-01,23
2011-12-01,27
2012-01-01,32
2012-02-01,33
2012-03-01,30
2012-04-01,42
2012-05-01,43
2012-06-01,54
2012-07-01,56
2012-08-01,62
2012-09-01,58
2012-10-01,54
2012-11-01,64
2012-12-01,79
2013-01-01,91
2013-02-01,84
2013-03-01,74
2013-04-01,73
2013-05-01,74
2013-06-01,81
2013-07-01,85
2013-08-01,82
2013-09-01,71
2013-10-01,70
2013-11-01,70
2013-12-01,76
2014-01-01,84
2014-02-01,81
2014-03-01,79
2014-04-01,81
2014-05-01,80
2014-06-01,87
2014-07-01,86
2014-08-01,92
2014-09-01,78
2014-10-01,76
2014-11-01,78
2014-12-01,88
2015-01-01,95
2015-02-01,83
2015-03-01,84
2015-04-01,84
2015-05-01,86
2015-06-01,95
2015-07-01,93
2015-08-01,90
2015-09-01,84
2015-10-01,83
2015-11-01,81
2015-12-01,83
2016-01-01,88
2016-02-01,81
2016-03-01,80
2016-04-01,83
2016-05-01,90
2016-06-01,96
2016-07-01,100
2016-08-01,95
2016-09-01,85
2016-10-01,81
2016-11-01,84
2016-12-01,83
2017-01-01,94
