date,twitter home page
2011-01-01,28
2011-02-01,29
2011-03-01,32
2011-04-01,37
2011-05-01,46
2011-06-01,42
2011-07-01,45
2011-08-01,39
2011-09-01,40
2011-10-01,38
2011-11-01,54
2011-12-01,61
2012-01-01,60
2012-02-01,49
2012-03-01,49
2012-04-01,53
2012-05-01,56
2012-06-01,46
2012-07-01,52
2012-08-01,52
2012-09-01,46
2012-10-01,48
2012-11-01,42
2012-12-01,83
2013-01-01,100
2013-02-01,57
2013-03-01,38
2013-04-01,47
2013-05-01,85
2013-06-01,48
2013-07-01,44
2013-08-01,39
2013-09-01,66
2013-10-01,58
2013-11-01,35
2013-12-01,27
2014-01-01,32
2014-02-01,36
2014-03-01,40
2014-04-01,31
2014-05-01,31
2014-06-01,36
2014-07-01,28
2014-08-01,25
2014-09-01,27
2014-10-01,21
2014-11-01,24
2014-12-01,19
2015-01-01,26
2015-02-01,24
2015-03-01,19
2015-04-01,25
2015-05-01,20
2015-06-01,24
2015-07-01,18
2015-08-01,18
2015-09-01,18
2015-10-01,18
2015-11-01,21
2015-12-01,18
2016-01-01,18
2016-02-01,19
2016-03-01,19
2016-04-01,21
2016-05-01,20
2016-06-01,16
2016-07-01,18
2016-08-01,18
2016-09-01,14
2016-10-01,15
2016-11-01,14
2016-12-01,11
2017-01-01,15
