date,surf anonymously free,most private browser
2011-01-01,65,7
2011-02-01,61,19
2011-03-01,59,14
2011-04-01,61,14
2011-05-01,69,14
2011-06-01,56,7
2011-07-01,61,9
2011-08-01,79,13
2011-09-01,79,13
2011-10-01,55,24
2011-11-01,100,6
2011-12-01,77,24
2012-01-01,76,20
2012-02-01,58,21
2012-03-01,56,20
2012-04-01,78,17
2012-05-01,65,11
2012-06-01,69,7
2012-07-01,56,14
2012-08-01,66,16
2012-09-01,64,8
2012-10-01,53,16
2012-11-01,53,5
2012-12-01,45,23
2013-01-01,38,15
2013-02-01,31,16
2013-03-01,42,14
2013-04-01,62,16
2013-05-01,36,14
2013-06-01,44,18
2013-07-01,32,27
2013-08-01,59,23
2013-09-01,63,10
2013-10-01,28,17
2013-11-01,37,19
2013-12-01,34,32
2014-01-01,55,19
2014-02-01,51,19
2014-03-01,34,18
2014-04-01,43,14
2014-05-01,37,28
2014-06-01,43,20
2014-07-01,44,23
2014-08-01,45,25
2014-09-01,42,32
2014-10-01,39,22
2014-11-01,52,21
2014-12-01,35,30
2015-01-01,38,24
2015-02-01,55,17
2015-03-01,36,14
2015-04-01,40,28
2015-05-01,42,23
2015-06-01,26,22
2015-07-01,24,26
2015-08-01,33,35
2015-09-01,35,28
2015-10-01,38,23
2015-11-01,32,28
2015-12-01,31,32
2016-01-01,20,21
2016-02-01,31,23
2016-03-01,23,22
2016-04-01,33,23
2016-05-01,10,33
2016-06-01,12,29
2016-07-01,29,29
2016-08-01,28,22
2016-09-01,34,27
2016-10-01,34,27
2016-11-01,21,23
2016-12-01,27,29
2017-01-01,13,33
