date,epic browser review,most private browser
2011-01-01,77,21
2011-02-01,44,55
2011-03-01,20,40
2011-04-01,21,40
2011-05-01,60,40
2011-06-01,41,21
2011-07-01,30,27
2011-08-01,57,38
2011-09-01,19,37
2011-10-01,18,71
2011-11-01,35,18
2011-12-01,18,70
2012-01-01,40,59
2012-02-01,17,61
2012-03-01,31,58
2012-04-01,25,49
2012-05-01,15,31
2012-06-01,16,21
2012-07-01,16,42
2012-08-01,16,46
2012-09-01,31,23
2012-10-01,14,47
2012-11-01,14,14
2012-12-01,14,66
2013-01-01,19,43
2013-02-01,14,47
2013-03-01,12,42
2013-04-01,12,47
2013-05-01,12,41
2013-06-01,26,51
2013-07-01,12,80
2013-08-01,12,67
2013-09-01,49,29
2013-10-01,89,50
2013-11-01,31,55
2013-12-01,44,92
2014-01-01,37,55
2014-02-01,24,56
2014-03-01,29,51
2014-04-01,71,41
2014-05-01,57,80
2014-06-01,25,59
2014-07-01,45,66
2014-08-01,37,74
2014-09-01,47,94
2014-10-01,34,63
2014-11-01,27,61
2014-12-01,45,86
2015-01-01,46,70
2015-02-01,23,49
2015-03-01,69,42
2015-04-01,46,82
2015-05-01,41,66
2015-06-01,35,64
2015-07-01,31,77
2015-08-01,83,100
2015-09-01,37,81
2015-10-01,48,68
2015-11-01,23,82
2015-12-01,60,93
2016-01-01,38,60
2016-02-01,37,66
2016-03-01,82,64
2016-04-01,58,67
2016-05-01,38,94
2016-06-01,58,85
2016-07-01,58,83
2016-08-01,45,63
2016-09-01,53,77
2016-10-01,59,79
2016-11-01,45,65
2016-12-01,51,85
2017-01-01,40,97
