date,best ip hider,most private browser
2011-01-01,74,9
2011-02-01,84,23
2011-03-01,98,17
2011-04-01,87,17
2011-05-01,76,17
2011-06-01,72,9
2011-07-01,89,11
2011-08-01,54,16
2011-09-01,58,16
2011-10-01,100,30
2011-11-01,80,8
2011-12-01,60,30
2012-01-01,85,25
2012-02-01,78,26
2012-03-01,94,25
2012-04-01,68,21
2012-05-01,61,13
2012-06-01,47,9
2012-07-01,67,18
2012-08-01,72,20
2012-09-01,81,10
2012-10-01,89,20
2012-11-01,70,6
2012-12-01,50,28
2013-01-01,75,18
2013-02-01,82,20
2013-03-01,59,18
2013-04-01,55,20
2013-05-01,67,18
2013-06-01,67,22
2013-07-01,39,34
2013-08-01,66,28
2013-09-01,52,12
2013-10-01,41,21
2013-11-01,35,23
2013-12-01,49,39
2014-01-01,42,23
2014-02-01,82,24
2014-03-01,46,22
2014-04-01,57,17
2014-05-01,52,34
2014-06-01,55,25
2014-07-01,52,28
2014-08-01,66,31
2014-09-01,87,40
2014-10-01,78,27
2014-11-01,62,26
2014-12-01,53,37
2015-01-01,76,30
2015-02-01,60,21
2015-03-01,68,18
2015-04-01,60,35
2015-05-01,74,28
2015-06-01,55,27
2015-07-01,53,33
2015-08-01,70,42
2015-09-01,48,34
2015-10-01,60,29
2015-11-01,57,35
2015-12-01,54,40
2016-01-01,53,25
2016-02-01,44,28
2016-03-01,42,27
2016-04-01,41,28
2016-05-01,38,40
2016-06-01,43,36
2016-07-01,46,35
2016-08-01,83,27
2016-09-01,70,33
2016-10-01,31,33
2016-11-01,51,28
2016-12-01,57,36
2017-01-01,34,41
