date,incognito meaning
2011-01-01,12
2011-02-01,11
2011-03-01,10
2011-04-01,10
2011-05-01,13
2011-06-01,16
2011-07-01,15
2011-08-01,15
2011-09-01,15
2011-10-01,12
2011-11-01,15
2011-12-01,13
2012-01-01,12
2012-02-01,18
2012-03-01,13
2012-04-01,16
2012-05-01,24
2012-06-01,15
2012-07-01,19
2012-08-01,16
2012-09-01,16
2012-10-01,19
2012-11-01,18
2012-12-01,24
2013-01-01,22
2013-02-01,20
2013-03-01,22
2013-04-01,25
2013-05-01,24
2013-06-01,25
2013-07-01,23
2013-08-01,25
2013-09-01,25
2013-10-01,22
2013-11-01,46
2013-12-01,24
2014-01-01,26
2014-02-01,30
2014-03-01,26
2014-04-01,27
2014-05-01,27
2014-06-01,23
2014-07-01,30
2014-08-01,29
2014-09-01,33
2014-10-01,30
2014-11-01,32
2014-12-01,32
2015-01-01,49
2015-02-01,52
2015-03-01,44
2015-04-01,51
2015-05-01,49
2015-06-01,54
2015-07-01,70
2015-08-01,78
2015-09-01,66
2015-10-01,59
2015-11-01,60
2015-12-01,68
2016-01-01,69
2016-02-01,69
2016-03-01,65
2016-04-01,66
2016-05-01,91
2016-06-01,100
2016-07-01,93
2016-08-01,81
2016-09-01,89
2016-10-01,78
2016-11-01,94
2016-12-01,77
2017-01-01,69
