date,duckduckgo review
2011-01-01,16
2011-02-01,13
2011-03-01,6
2011-04-01,11
2011-05-01,9
2011-06-01,11
2011-07-01,13
2011-08-01,16
2011-09-01,13
2011-10-01,14
2011-11-01,13
2011-12-01,20
2012-01-01,26
2012-02-01,42
2012-03-01,37
2012-04-01,28
2012-05-01,45
2012-06-01,13
2012-07-01,14
2012-08-01,24
2012-09-01,22
2012-10-01,13
2012-11-01,42
2012-12-01,27
2013-01-01,16
2013-02-01,11
2013-03-01,23
2013-04-01,44
2013-05-01,15
2013-06-01,27
2013-07-01,77
2013-08-01,37
2013-09-01,36
2013-10-01,23
2013-11-01,39
2013-12-01,49
2014-01-01,100
2014-02-01,36
2014-03-01,31
2014-04-01,39
2014-05-01,40
2014-06-01,82
2014-07-01,43
2014-08-01,33
2014-09-01,41
2014-10-01,78
2014-11-01,91
2014-12-01,68
2015-01-01,53
2015-02-01,30
2015-03-01,41
2015-04-01,48
2015-05-01,50
2015-06-01,32
2015-07-01,42
2015-08-01,52
2015-09-01,41
2015-10-01,49
2015-11-01,43
2015-12-01,36
2016-01-01,51
2016-02-01,45
2016-03-01,42
2016-04-01,33
2016-05-01,33
2016-06-01,38
2016-07-01,41
2016-08-01,38
2016-09-01,34
2016-10-01,43
2016-11-01,52
2016-12-01,43
2017-01-01,43
