date,incognito mode chrome
2011-01-01,23
2011-02-01,26
2011-03-01,23
2011-04-01,27
2011-05-01,22
2011-06-01,26
2011-07-01,25
2011-08-01,28
2011-09-01,21
2011-10-01,27
2011-11-01,25
2011-12-01,34
2012-01-01,34
2012-02-01,40
2012-03-01,41
2012-04-01,36
2012-05-01,44
2012-06-01,40
2012-07-01,52
2012-08-01,60
2012-09-01,51
2012-10-01,64
2012-11-01,61
2012-12-01,56
2013-01-01,59
2013-02-01,60
2013-03-01,66
2013-04-01,95
2013-05-01,81
2013-06-01,96
2013-07-01,96
2013-08-01,87
2013-09-01,84
2013-10-01,80
2013-11-01,94
2013-12-01,93
2014-01-01,99
2014-02-01,95
2014-03-01,97
2014-04-01,79
2014-05-01,76
2014-06-01,76
2014-07-01,95
2014-08-01,90
2014-09-01,89
2014-10-01,91
2014-11-01,81
2014-12-01,81
2015-01-01,94
2015-02-01,85
2015-03-01,81
2015-04-01,83
2015-05-01,73
2015-06-01,83
2015-07-01,85
2015-08-01,93
2015-09-01,90
2015-10-01,78
2015-11-01,78
2015-12-01,83
2016-01-01,84
2016-02-01,83
2016-03-01,79
2016-04-01,76
2016-05-01,82
2016-06-01,75
2016-07-01,82
2016-08-01,78
2016-09-01,94
2016-10-01,82
2016-11-01,85
2016-12-01,100
2017-01-01,91
