date,in private browsing google
2011-01-01,45
2011-02-01,37
2011-03-01,50
2011-04-01,42
2011-05-01,56
2011-06-01,61
2011-07-01,71
2011-08-01,94
2011-09-01,84
2011-10-01,72
2011-11-01,54
2011-12-01,98
2012-01-01,93
2012-02-01,60
2012-03-01,100
2012-04-01,80
2012-05-01,86
2012-06-01,79
2012-07-01,94
2012-08-01,80
2012-09-01,81
2012-10-01,93
2012-11-01,93
2012-12-01,62
2013-01-01,80
2013-02-01,68
2013-03-01,80
2013-04-01,87
2013-05-01,48
2013-06-01,65
2013-07-01,71
2013-08-01,82
2013-09-01,69
2013-10-01,71
2013-11-01,59
2013-12-01,89
2014-01-01,83
2014-02-01,61
2014-03-01,62
2014-04-01,53
2014-05-01,73
2014-06-01,65
2014-07-01,50
2014-08-01,63
2014-09-01,67
2014-10-01,95
2014-11-01,64
2014-12-01,35
2015-01-01,54
2015-02-01,49
2015-03-01,47
2015-04-01,69
2015-05-01,48
2015-06-01,36
2015-07-01,46
2015-08-01,56
2015-09-01,49
2015-10-01,45
2015-11-01,41
2015-12-01,42
2016-01-01,53
2016-02-01,74
2016-03-01,40
2016-04-01,30
2016-05-01,37
2016-06-01,25
2016-07-01,48
2016-08-01,31
2016-09-01,40
2016-10-01,31
2016-11-01,35
2016-12-01,42
2017-01-01,35
