date,tor browser android
2011-01-01,1
2011-02-01,1
2011-03-01,1
2011-04-01,2
2011-05-01,2
2011-06-01,2
2011-07-01,1
2011-08-01,2
2011-09-01,1
2011-10-01,3
2011-11-01,5
2011-12-01,5
2012-01-01,4
2012-02-01,5
2012-03-01,6
2012-04-01,5
2012-05-01,7
2012-06-01,9
2012-07-01,8
2012-08-01,13
2012-09-01,11
2012-10-01,11
2012-11-01,13
2012-12-01,17
2013-01-01,15
2013-02-01,12
2013-03-01,17
2013-04-01,17
2013-05-01,16
2013-06-01,24
2013-07-01,23
2013-08-01,23
2013-09-01,24
2013-10-01,22
2013-11-01,24
2013-12-01,31
2014-01-01,29
2014-02-01,35
2014-03-01,40
2014-04-01,38
2014-05-01,35
2014-06-01,36
2014-07-01,42
2014-08-01,40
2014-09-01,47
2014-10-01,43
2014-11-01,44
2014-12-01,41
2015-01-01,43
2015-02-01,40
2015-03-01,41
2015-04-01,50
2015-05-01,42
2015-06-01,46
2015-07-01,56
2015-08-01,100
2015-09-01,66
2015-10-01,65
2015-11-01,79
2015-12-01,69
2016-01-01,63
2016-02-01,65
2016-03-01,52
2016-04-01,54
2016-05-01,49
2016-06-01,47
2016-07-01,70
2016-08-01,61
2016-09-01,58
2016-10-01,53
2016-11-01,53
2016-12-01,56
2017-01-01,67
