date,inprivate browsing google chrome
2011-01-01,57
2011-02-01,54
2011-03-01,21
2011-04-01,80
2011-05-01,65
2011-06-01,99
2011-07-01,71
2011-08-01,72
2011-09-01,100
2011-10-01,76
2011-11-01,67
2011-12-01,37
2012-01-01,73
2012-02-01,27
2012-03-01,76
2012-04-01,71
2012-05-01,66
2012-06-01,64
2012-07-01,42
2012-08-01,38
2012-09-01,58
2012-10-01,34
2012-11-01,65
2012-12-01,84
2013-01-01,49
2013-02-01,46
2013-03-01,48
2013-04-01,38
2013-05-01,24
2013-06-01,31
2013-07-01,17
2013-08-01,37
2013-09-01,33
2013-10-01,16
2013-11-01,19
2013-12-01,42
2014-01-01,53
2014-02-01,42
2014-03-01,29
2014-04-01,36
2014-05-01,40
2014-06-01,34
2014-07-01,13
2014-08-01,27
2014-09-01,32
2014-10-01,48
2014-11-01,12
2014-12-01,31
2015-01-01,31
2015-02-01,37
2015-03-01,20
2015-04-01,17
2015-05-01,14
2015-06-01,14
2015-07-01,20
2015-08-01,36
2015-09-01,38
2015-10-01,13
2015-11-01,11
2015-12-01,27
2016-01-01,23
2016-02-01,33
2016-03-01,17
2016-04-01,15
2016-05-01,22
2016-06-01,17
2016-07-01,10
2016-08-01,15
2016-09-01,14
2016-10-01,9
2016-11-01,14
2016-12-01,12
2017-01-01,9
