date,private search google
2011-01-01,68
2011-02-01,51
2011-03-01,57
2011-04-01,56
2011-05-01,78
2011-06-01,91
2011-07-01,76
2011-08-01,77
2011-09-01,69
2011-10-01,66
2011-11-01,73
2011-12-01,69
2012-01-01,95
2012-02-01,70
2012-03-01,79
2012-04-01,87
2012-05-01,79
2012-06-01,74
2012-07-01,59
2012-08-01,74
2012-09-01,61
2012-10-01,65
2012-11-01,58
2012-12-01,79
2013-01-01,81
2013-02-01,73
2013-03-01,59
2013-04-01,65
2013-05-01,58
2013-06-01,72
2013-07-01,73
2013-08-01,71
2013-09-01,83
2013-10-01,90
2013-11-01,95
2013-12-01,93
2014-01-01,94
2014-02-01,82
2014-03-01,88
2014-04-01,80
2014-05-01,81
2014-06-01,80
2014-07-01,89
2014-08-01,78
2014-09-01,100
2014-10-01,83
2014-11-01,76
2014-12-01,81
2015-01-01,87
2015-02-01,71
2015-03-01,69
2015-04-01,76
2015-05-01,76
2015-06-01,81
2015-07-01,79
2015-08-01,80
2015-09-01,86
2015-10-01,82
2015-11-01,88
2015-12-01,76
2016-01-01,84
2016-02-01,76
2016-03-01,78
2016-04-01,84
2016-05-01,87
2016-06-01,81
2016-07-01,79
2016-08-01,82
2016-09-01,85
2016-10-01,89
2016-11-01,85
2016-12-01,82
2017-01-01,84
