date,google account history
2011-01-01,25
2011-02-01,21
2011-03-01,15
2011-04-01,20
2011-05-01,22
2011-06-01,30
2011-07-01,40
2011-08-01,42
2011-09-01,44
2011-10-01,39
2011-11-01,39
2011-12-01,32
2012-01-01,37
2012-02-01,67
2012-03-01,52
2012-04-01,27
2012-05-01,31
2012-06-01,32
2012-07-01,33
2012-08-01,40
2012-09-01,36
2012-10-01,33
2012-11-01,35
2012-12-01,40
2013-01-01,42
2013-02-01,37
2013-03-01,48
2013-04-01,40
2013-05-01,45
2013-06-01,47
2013-07-01,49
2013-08-01,61
2013-09-01,53
2013-10-01,55
2013-11-01,56
2013-12-01,57
2014-01-01,67
2014-02-01,64
2014-03-01,58
2014-04-01,61
2014-05-01,56
2014-06-01,54
2014-07-01,58
2014-08-01,61
2014-09-01,63
2014-10-01,62
2014-11-01,60
2014-12-01,68
2015-01-01,71
2015-02-01,75
2015-03-01,73
2015-04-01,92
2015-05-01,87
2015-06-01,94
2015-07-01,89
2015-08-01,97
2015-09-01,94
2015-10-01,94
2015-11-01,89
2015-12-01,93
2016-01-01,90
2016-02-01,95
2016-03-01,100
2016-04-01,93
2016-05-01,82
2016-06-01,87
2016-07-01,96
2016-08-01,83
2016-09-01,84
2016-10-01,93
2016-11-01,98
2016-12-01,86
2017-01-01,86
