date,safari incognito iphone
2011-01-01,18
2011-02-01,25
2011-03-01,12
2011-04-01,12
2011-05-01,11
2011-06-01,11
2011-07-01,17
2011-08-01,21
2011-09-01,23
2011-10-01,25
2011-11-01,13
2011-12-01,19
2012-01-01,18
2012-02-01,9
2012-03-01,18
2012-04-01,18
2012-05-01,11
2012-06-01,22
2012-07-01,29
2012-08-01,26
2012-09-01,34
2012-10-01,47
2012-11-01,32
2012-12-01,29
2013-01-01,26
2013-02-01,32
2013-03-01,33
2013-04-01,33
2013-05-01,30
2013-06-01,50
2013-07-01,42
2013-08-01,56
2013-09-01,55
2013-10-01,32
2013-11-01,33
2013-12-01,44
2014-01-01,25
2014-02-01,25
2014-03-01,26
2014-04-01,25
2014-05-01,25
2014-06-01,21
2014-07-01,36
2014-08-01,50
2014-09-01,48
2014-10-01,31
2014-11-01,45
2014-12-01,65
2015-01-01,65
2015-02-01,51
2015-03-01,62
2015-04-01,48
2015-05-01,37
2015-06-01,73
2015-07-01,66
2015-08-01,73
2015-09-01,66
2015-10-01,100
2015-11-01,58
2015-12-01,73
2016-01-01,44
2016-02-01,79
2016-03-01,47
2016-04-01,57
2016-05-01,69
2016-06-01,61
2016-07-01,69
2016-08-01,55
2016-09-01,61
2016-10-01,74
2016-11-01,83
2016-12-01,84
2017-01-01,84
