date,incognito google chrome
2011-01-01,41
2011-02-01,54
2011-03-01,48
2011-04-01,47
2011-05-01,59
2011-06-01,61
2011-07-01,61
2011-08-01,72
2011-09-01,55
2011-10-01,66
2011-11-01,64
2011-12-01,63
2012-01-01,67
2012-02-01,70
2012-03-01,74
2012-04-01,77
2012-05-01,94
2012-06-01,81
2012-07-01,96
2012-08-01,100
2012-09-01,88
2012-10-01,87
2012-11-01,80
2012-12-01,82
2013-01-01,74
2013-02-01,75
2013-03-01,76
2013-04-01,92
2013-05-01,86
2013-06-01,95
2013-07-01,95
2013-08-01,93
2013-09-01,93
2013-10-01,87
2013-11-01,91
2013-12-01,87
2014-01-01,97
2014-02-01,98
2014-03-01,87
2014-04-01,82
2014-05-01,76
2014-06-01,76
2014-07-01,90
2014-08-01,81
2014-09-01,83
2014-10-01,80
2014-11-01,73
2014-12-01,78
2015-01-01,92
2015-02-01,73
2015-03-01,68
2015-04-01,71
2015-05-01,69
2015-06-01,71
2015-07-01,73
2015-08-01,78
2015-09-01,73
2015-10-01,69
2015-11-01,65
2015-12-01,71
2016-01-01,69
2016-02-01,64
2016-03-01,67
2016-04-01,66
2016-05-01,66
2016-06-01,63
2016-07-01,63
2016-08-01,61
2016-09-01,76
2016-10-01,59
2016-11-01,65
2016-12-01,73
2017-01-01,64
