date,anonymous search engines
2011-01-01,49
2011-02-01,31
2011-03-01,28
2011-04-01,40
2011-05-01,28
2011-06-01,48
2011-07-01,19
2011-08-01,36
2011-09-01,35
2011-10-01,25
2011-11-01,58
2011-12-01,33
2012-01-01,75
2012-02-01,63
2012-03-01,59
2012-04-01,93
2012-05-01,36
2012-06-01,30
2012-07-01,44
2012-08-01,59
2012-09-01,51
2012-10-01,40
2012-11-01,53
2012-12-01,46
2013-01-01,30
2013-02-01,60
2013-03-01,59
2013-04-01,72
2013-05-01,52
2013-06-01,54
2013-07-01,65
2013-08-01,41
2013-09-01,63
2013-10-01,33
2013-11-01,100
2013-12-01,39
2014-01-01,57
2014-02-01,68
2014-03-01,61
2014-04-01,58
2014-05-01,54
2014-06-01,77
2014-07-01,58
2014-08-01,52
2014-09-01,44
2014-10-01,79
2014-11-01,16
2014-12-01,74
2015-01-01,65
2015-02-01,43
2015-03-01,24
2015-04-01,40
2015-05-01,24
2015-06-01,25
2015-07-01,54
2015-08-01,43
2015-09-01,52
2015-10-01,44
2015-11-01,47
2015-12-01,23
2016-01-01,31
2016-02-01,35
2016-03-01,46
2016-04-01,34
2016-05-01,37
2016-06-01,30
2016-07-01,26
2016-08-01,21
2016-09-01,21
2016-10-01,48
2016-11-01,44
2016-12-01,20
2017-01-01,34
