date,tor browser mac
2011-01-01,10
2011-02-01,7
2011-03-01,11
2011-04-01,11
2011-05-01,9
2011-06-01,15
2011-07-01,14
2011-08-01,19
2011-09-01,16
2011-10-01,17
2011-11-01,23
2011-12-01,20
2012-01-01,22
2012-02-01,31
2012-03-01,24
2012-04-01,32
2012-05-01,29
2012-06-01,33
2012-07-01,32
2012-08-01,42
2012-09-01,41
2012-10-01,53
2012-11-01,49
2012-12-01,42
2013-01-01,56
2013-02-01,54
2013-03-01,61
2013-04-01,58
2013-05-01,59
2013-06-01,64
2013-07-01,58
2013-08-01,75
2013-09-01,59
2013-10-01,71
2013-11-01,82
2013-12-01,89
2014-01-01,83
2014-02-01,85
2014-03-01,92
2014-04-01,71
2014-05-01,84
2014-06-01,73
2014-07-01,79
2014-08-01,79
2014-09-01,100
2014-10-01,99
2014-11-01,87
2014-12-01,83
2015-01-01,85
2015-02-01,76
2015-03-01,74
2015-04-01,77
2015-05-01,64
2015-06-01,59
2015-07-01,62
2015-08-01,98
2015-09-01,88
2015-10-01,75
2015-11-01,87
2015-12-01,88
2016-01-01,83
2016-02-01,79
2016-03-01,68
2016-04-01,74
2016-05-01,75
2016-06-01,65
2016-07-01,75
2016-08-01,77
2016-09-01,69
2016-10-01,83
2016-11-01,72
2016-12-01,77
2017-01-01,99
