date,most private browser
2011-01-01,34
2011-02-01,71
2011-03-01,32
2011-04-01,20
2011-05-01,19
2011-06-01,33
2011-07-01,39
2011-08-01,37
2011-09-01,27
2011-10-01,51
2011-11-01,34
2011-12-01,22
2012-01-01,72
2012-02-01,43
2012-03-01,56
2012-04-01,71
2012-05-01,39
2012-06-01,31
2012-07-01,30
2012-08-01,45
2012-09-01,35
2012-10-01,32
2012-11-01,14
2012-12-01,55
2013-01-01,33
2013-02-01,54
2013-03-01,36
2013-04-01,65
2013-05-01,32
2013-06-01,70
2013-07-01,76
2013-08-01,96
2013-09-01,51
2013-10-01,48
2013-11-01,61
2013-12-01,73
2014-01-01,46
2014-02-01,75
2014-03-01,52
2014-04-01,43
2014-05-01,62
2014-06-01,36
2014-07-01,82
2014-08-01,59
2014-09-01,68
2014-10-01,54
2014-11-01,51
2014-12-01,87
2015-01-01,65
2015-02-01,40
2015-03-01,50
2015-04-01,82
2015-05-01,43
2015-06-01,58
2015-07-01,67
2015-08-01,80
2015-09-01,65
2015-10-01,62
2015-11-01,94
2015-12-01,86
2016-01-01,72
2016-02-01,66
2016-03-01,79
2016-04-01,76
2016-05-01,79
2016-06-01,82
2016-07-01,68
2016-08-01,55
2016-09-01,94
2016-10-01,100
2016-11-01,55
2016-12-01,60
2017-01-01,85
