date,how to delete history on google chrome
2011-01-01,75
2011-02-01,53
2011-03-01,31
2011-04-01,56
2011-05-01,61
2011-06-01,84
2011-07-01,99
2011-08-01,100
2011-09-01,96
2011-10-01,60
2011-11-01,55
2011-12-01,64
2012-01-01,78
2012-02-01,79
2012-03-01,59
2012-04-01,68
2012-05-01,74
2012-06-01,74
2012-07-01,56
2012-08-01,57
2012-09-01,58
2012-10-01,57
2012-11-01,59
2012-12-01,69
2013-01-01,68
2013-02-01,53
2013-03-01,58
2013-04-01,61
2013-05-01,65
2013-06-01,59
2013-07-01,70
2013-08-01,69
2013-09-01,55
2013-10-01,47
2013-11-01,49
2013-12-01,74
2014-01-01,68
2014-02-01,58
2014-03-01,55
2014-04-01,59
2014-05-01,55
2014-06-01,54
2014-07-01,57
2014-08-01,53
2014-09-01,55
2014-10-01,47
2014-11-01,51
2014-12-01,52
2015-01-01,50
2015-02-01,48
2015-03-01,48
2015-04-01,52
2015-05-01,50
2015-06-01,52
2015-07-01,51
2015-08-01,44
2015-09-01,48
2015-10-01,44
2015-11-01,38
2015-12-01,52
2016-01-01,49
2016-02-01,40
2016-03-01,35
2016-04-01,46
2016-05-01,45
2016-06-01,34
2016-07-01,41
2016-08-01,43
2016-09-01,58
2016-10-01,48
2016-11-01,44
2016-12-01,45
2017-01-01,47
