date,google history delete all
2011-01-01,6
2011-02-01,7
2011-03-01,6
2011-04-01,7
2011-05-01,6
2011-06-01,8
2011-07-01,9
2011-08-01,10
2011-09-01,8
2011-10-01,11
2011-11-01,9
2011-12-01,10
2012-01-01,10
2012-02-01,12
2012-03-01,10
2012-04-01,10
2012-05-01,10
2012-06-01,11
2012-07-01,13
2012-08-01,14
2012-09-01,13
2012-10-01,12
2012-11-01,13
2012-12-01,12
2013-01-01,15
2013-02-01,16
2013-03-01,13
2013-04-01,13
2013-05-01,16
2013-06-01,14
2013-07-01,18
2013-08-01,18
2013-09-01,17
2013-10-01,13
2013-11-01,18
2013-12-01,22
2014-01-01,21
2014-02-01,26
2014-03-01,21
2014-04-01,23
2014-05-01,21
2014-06-01,19
2014-07-01,20
2014-08-01,20
2014-09-01,17
2014-10-01,20
2014-11-01,25
2014-12-01,22
2015-01-01,24
2015-02-01,22
2015-03-01,25
2015-04-01,36
2015-05-01,26
2015-06-01,31
2015-07-01,28
2015-08-01,33
2015-09-01,37
2015-10-01,37
2015-11-01,31
2015-12-01,36
2016-01-01,36
2016-02-01,41
2016-03-01,37
2016-04-01,37
2016-05-01,36
2016-06-01,42
2016-07-01,46
2016-08-01,37
2016-09-01,35
2016-10-01,56
2016-11-01,81
2016-12-01,96
2017-01-01,100
