date,private browsing internet explorer
2011-01-01,79
2011-02-01,76
2011-03-01,74
2011-04-01,91
2011-05-01,87
2011-06-01,100
2011-07-01,86
2011-08-01,75
2011-09-01,77
2011-10-01,67
2011-11-01,66
2011-12-01,70
2012-01-01,71
2012-02-01,74
2012-03-01,76
2012-04-01,73
2012-05-01,74
2012-06-01,81
2012-07-01,80
2012-08-01,74
2012-09-01,80
2012-10-01,75
2012-11-01,65
2012-12-01,61
2013-01-01,69
2013-02-01,68
2013-03-01,69
2013-04-01,73
2013-05-01,57
2013-06-01,64
2013-07-01,64
2013-08-01,66
2013-09-01,63
2013-10-01,63
2013-11-01,56
2013-12-01,59
2014-01-01,71
2014-02-01,61
2014-03-01,62
2014-04-01,46
2014-05-01,50
2014-06-01,53
2014-07-01,49
2014-08-01,46
2014-09-01,48
2014-10-01,51
2014-11-01,47
2014-12-01,40
2015-01-01,40
2015-02-01,47
2015-03-01,45
2015-04-01,37
2015-05-01,42
2015-06-01,41
2015-07-01,46
2015-08-01,51
2015-09-01,41
2015-10-01,40
2015-11-01,31
2015-12-01,39
2016-01-01,39
2016-02-01,36
2016-03-01,29
2016-04-01,32
2016-05-01,31
2016-06-01,37
2016-07-01,26
2016-08-01,23
2016-09-01,27
2016-10-01,30
2016-11-01,26
2016-12-01,24
2017-01-01,23
