date,incognito mode shortcut
2011-01-01,13
2011-02-01,9
2011-03-01,12
2011-04-01,13
2011-05-01,22
2011-06-01,23
2011-07-01,26
2011-08-01,24
2011-09-01,8
2011-10-01,30
2011-11-01,19
2011-12-01,15
2012-01-01,20
2012-02-01,26
2012-03-01,37
2012-04-01,23
2012-05-01,13
2012-06-01,24
2012-07-01,24
2012-08-01,28
2012-09-01,45
2012-10-01,45
2012-11-01,34
2012-12-01,40
2013-01-01,38
2013-02-01,20
2013-03-01,41
2013-04-01,48
2013-05-01,42
2013-06-01,41
2013-07-01,72
2013-08-01,49
2013-09-01,50
2013-10-01,65
2013-11-01,41
2013-12-01,68
2014-01-01,54
2014-02-01,47
2014-03-01,45
2014-04-01,47
2014-05-01,48
2014-06-01,42
2014-07-01,62
2014-08-01,79
2014-09-01,48
2014-10-01,48
2014-11-01,64
2014-12-01,54
2015-01-01,40
2015-02-01,55
2015-03-01,48
2015-04-01,54
2015-05-01,49
2015-06-01,60
2015-07-01,42
2015-08-01,75
2015-09-01,81
2015-10-01,64
2015-11-01,69
2015-12-01,63
2016-01-01,83
2016-02-01,83
2016-03-01,56
2016-04-01,66
2016-05-01,83
2016-06-01,74
2016-07-01,77
2016-08-01,64
2016-09-01,68
2016-10-01,70
2016-11-01,52
2016-12-01,91
2017-01-01,100
