date,How to be anonymous online
2011-01-01,39
2011-02-01,18
2011-03-01,39
2011-04-01,0
2011-05-01,37
2011-06-01,33
2011-07-01,16
2011-08-01,23
2011-09-01,45
2011-10-01,42
2011-11-01,35
2011-12-01,37
2012-01-01,26
2012-02-01,49
2012-03-01,38
2012-04-01,39
2012-05-01,37
2012-06-01,32
2012-07-01,42
2012-08-01,45
2012-09-01,66
2012-10-01,33
2012-11-01,19
2012-12-01,62
2013-01-01,31
2013-02-01,34
2013-03-01,50
2013-04-01,51
2013-05-01,26
2013-06-01,44
2013-07-01,50
2013-08-01,50
2013-09-01,49
2013-10-01,37
2013-11-01,35
2013-12-01,38
2014-01-01,41
2014-02-01,58
2014-03-01,66
2014-04-01,42
2014-05-01,33
2014-06-01,47
2014-07-01,42
2014-08-01,75
2014-09-01,41
2014-10-01,65
2014-11-01,40
2014-12-01,51
2015-01-01,42
2015-02-01,67
2015-03-01,44
2015-04-01,40
2015-05-01,50
2015-06-01,45
2015-07-01,47
2015-08-01,57
2015-09-01,35
2015-10-01,58
2015-11-01,100
2015-12-01,74
2016-01-01,67
2016-02-01,40
2016-03-01,68
2016-04-01,44
2016-05-01,45
2016-06-01,63
2016-07-01,61
2016-08-01,67
2016-09-01,62
2016-10-01,54
2016-11-01,50
2016-12-01,68
2017-01-01,55
