date,Anonymous Search engine
2011-01-01,38
2011-02-01,22
2011-03-01,21
2011-04-01,28
2011-05-01,38
2011-06-01,43
2011-07-01,42
2011-08-01,29
2011-09-01,35
2011-10-01,35
2011-11-01,38
2011-12-01,28
2012-01-01,56
2012-02-01,77
2012-03-01,76
2012-04-01,48
2012-05-01,62
2012-06-01,56
2012-07-01,55
2012-08-01,52
2012-09-01,53
2012-10-01,52
2012-11-01,49
2012-12-01,59
2013-01-01,40
2013-02-01,37
2013-03-01,45
2013-04-01,64
2013-05-01,42
2013-06-01,100
2013-07-01,77
2013-08-01,87
2013-09-01,73
2013-10-01,65
2013-11-01,68
2013-12-01,82
2014-01-01,98
2014-02-01,93
2014-03-01,70
2014-04-01,82
2014-05-01,73
2014-06-01,78
2014-07-01,57
2014-08-01,69
2014-09-01,66
2014-10-01,63
2014-11-01,61
2014-12-01,66
2015-01-01,71
2015-02-01,57
2015-03-01,43
2015-04-01,50
2015-05-01,51
2015-06-01,51
2015-07-01,48
2015-08-01,56
2015-09-01,69
2015-10-01,52
2015-11-01,55
2015-12-01,51
2016-01-01,47
2016-02-01,50
2016-03-01,42
2016-04-01,45
2016-05-01,47
2016-06-01,40
2016-07-01,54
2016-08-01,38
2016-09-01,39
2016-10-01,42
2016-11-01,42
2016-12-01,32
2017-01-01,31
