date,Search in secret
2011-01-01,96
2011-02-01,84
2011-03-01,82
2011-04-01,82
2011-05-01,88
2011-06-01,71
2011-07-01,86
2011-08-01,75
2011-09-01,69
2011-10-01,80
2011-11-01,95
2011-12-01,94
2012-01-01,100
2012-02-01,66
2012-03-01,62
2012-04-01,61
2012-05-01,57
2012-06-01,66
2012-07-01,75
2012-08-01,78
2012-09-01,69
2012-10-01,66
2012-11-01,65
2012-12-01,71
2013-01-01,59
2013-02-01,72
2013-03-01,69
2013-04-01,65
2013-05-01,65
2013-06-01,72
2013-07-01,64
2013-08-01,60
2013-09-01,67
2013-10-01,62
2013-11-01,70
2013-12-01,70
2014-01-01,75
2014-02-01,59
2014-03-01,61
2014-04-01,77
2014-05-01,64
2014-06-01,64
2014-07-01,68
2014-08-01,70
2014-09-01,74
2014-10-01,72
2014-11-01,72
2014-12-01,80
2015-01-01,79
2015-02-01,68
2015-03-01,75
2015-04-01,71
2015-05-01,63
2015-06-01,72
2015-07-01,67
2015-08-01,79
2015-09-01,60
2015-10-01,70
2015-11-01,76
2015-12-01,71
2016-01-01,80
2016-02-01,67
2016-03-01,67
2016-04-01,70
2016-05-01,73
2016-06-01,64
2016-07-01,65
2016-08-01,74
2016-09-01,67
2016-10-01,62
2016-11-01,64
2016-12-01,66
2017-01-01,72
