date,how to delete snapchat messages,how to delete a snapchat account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,1
2012-06-01,0,1
2012-07-01,0,2
2012-08-01,0,2
2012-09-01,0,2
2012-10-01,0,5
2012-11-01,0,17
2012-12-01,1,18
2013-01-01,1,13
2013-02-01,1,7
2013-03-01,1,14
2013-04-01,1,20
2013-05-01,1,18
2013-06-01,1,24
2013-07-01,3,31
2013-08-01,2,22
2013-09-01,2,21
2013-10-01,3,26
2013-11-01,2,25
2013-12-01,1,38
2014-01-01,2,50
2014-02-01,1,33
2014-03-01,3,35
2014-04-01,3,35
2014-05-01,65,49
2014-06-01,28,43
2014-07-01,32,43
2014-08-01,26,37
2014-09-01,25,37
2014-10-01,20,39
2014-11-01,17,47
2014-12-01,32,54
2015-01-01,36,62
2015-02-01,57,42
2015-03-01,40,49
2015-04-01,37,38
2015-05-01,38,34
2015-06-01,67,41
2015-07-01,57,60
2015-08-01,43,58
2015-09-01,48,45
2015-10-01,42,34
2015-11-01,65,42
2015-12-01,59,47
2016-01-01,58,48
2016-02-01,52,44
2016-03-01,52,52
2016-04-01,77,56
2016-05-01,83,59
2016-06-01,83,57
2016-07-01,87,61
2016-08-01,74,58
2016-09-01,94,55
2016-10-01,100,48
2016-11-01,86,49
2016-12-01,82,60
2017-01-01,86,59
