date,instagram deleted my account,how to delete a snapchat account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,2,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,2,0
2012-02-01,1,0
2012-03-01,2,0
2012-04-01,3,0
2012-05-01,3,1
2012-06-01,6,1
2012-07-01,3,2
2012-08-01,6,3
2012-09-01,4,4
2012-10-01,4,8
2012-11-01,5,26
2012-12-01,10,28
2013-01-01,11,22
2013-02-01,6,13
2013-03-01,12,22
2013-04-01,10,32
2013-05-01,37,28
2013-06-01,15,37
2013-07-01,22,45
2013-08-01,12,40
2013-09-01,10,33
2013-10-01,10,43
2013-11-01,8,38
2013-12-01,19,57
2014-01-01,17,79
2014-02-01,8,49
2014-03-01,14,57
2014-04-01,11,58
2014-05-01,13,78
2014-06-01,14,72
2014-07-01,13,61
2014-08-01,14,59
2014-09-01,16,59
2014-10-01,14,65
2014-11-01,13,70
2014-12-01,27,79
2015-01-01,19,100
2015-02-01,23,65
2015-03-01,19,77
2015-04-01,13,63
2015-05-01,14,55
2015-06-01,31,59
2015-07-01,30,89
2015-08-01,18,88
2015-09-01,14,75
2015-10-01,18,56
2015-11-01,23,63
2015-12-01,25,71
2016-01-01,21,77
2016-02-01,17,71
2016-03-01,19,80
2016-04-01,23,85
2016-05-01,30,99
2016-06-01,29,93
2016-07-01,31,99
2016-08-01,36,89
2016-09-01,29,81
2016-10-01,33,76
2016-11-01,33,75
2016-12-01,63,95
2017-01-01,49,94
