date,Delete snapchat,how to delete a snapchat account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,0
2012-06-01,0,0
2012-07-01,0,0
2012-08-01,0,0
2012-09-01,1,0
2012-10-01,1,0
2012-11-01,5,1
2012-12-01,8,1
2013-01-01,7,1
2013-02-01,6,0
2013-03-01,8,1
2013-04-01,12,1
2013-05-01,16,1
2013-06-01,21,1
2013-07-01,19,1
2013-08-01,19,1
2013-09-01,17,1
2013-10-01,32,1
2013-11-01,30,1
2013-12-01,38,1
2014-01-01,53,2
2014-02-01,37,1
2014-03-01,40,2
2014-04-01,43,1
2014-05-01,100,2
2014-06-01,56,2
2014-07-01,51,2
2014-08-01,47,2
2014-09-01,49,2
2014-10-01,49,2
2014-11-01,54,2
2014-12-01,61,2
2015-01-01,71,3
2015-02-01,62,2
2015-03-01,54,2
2015-04-01,57,2
2015-05-01,56,1
2015-06-01,60,2
2015-07-01,67,2
2015-08-01,57,2
2015-09-01,53,2
2015-10-01,48,2
2015-11-01,47,2
2015-12-01,51,2
2016-01-01,54,2
2016-02-01,51,2
2016-03-01,57,2
2016-04-01,63,2
2016-05-01,63,3
2016-06-01,69,3
2016-07-01,77,3
2016-08-01,70,2
2016-09-01,60,2
2016-10-01,62,2
2016-11-01,60,2
2016-12-01,70,2
2017-01-01,72,3
