date,disable snapchat,how to delete a snapchat account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,1
2012-06-01,0,0
2012-07-01,1,1
2012-08-01,1,2
2012-09-01,0,3
2012-10-01,0,6
2012-11-01,1,21
2012-12-01,4,27
2013-01-01,3,18
2013-02-01,5,12
2013-03-01,3,19
2013-04-01,3,27
2013-05-01,7,22
2013-06-01,7,36
2013-07-01,9,40
2013-08-01,8,32
2013-09-01,9,33
2013-10-01,9,31
2013-11-01,12,33
2013-12-01,15,45
2014-01-01,21,63
2014-02-01,22,44
2014-03-01,19,51
2014-04-01,20,49
2014-05-01,27,73
2014-06-01,18,60
2014-07-01,19,52
2014-08-01,18,49
2014-09-01,21,51
2014-10-01,19,63
2014-11-01,17,59
2014-12-01,20,62
2015-01-01,32,84
2015-02-01,29,65
2015-03-01,17,69
2015-04-01,28,59
2015-05-01,18,47
2015-06-01,21,57
2015-07-01,38,70
2015-08-01,31,71
2015-09-01,27,68
2015-10-01,31,51
2015-11-01,28,54
2015-12-01,37,63
2016-01-01,35,58
2016-02-01,34,64
2016-03-01,33,69
2016-04-01,60,70
2016-05-01,42,90
2016-06-01,44,86
2016-07-01,69,100
2016-08-01,66,82
2016-09-01,60,64
2016-10-01,67,69
2016-11-01,50,67
2016-12-01,57,77
2017-01-01,60,81
