date,how to delete a snapchat story,how to delete a snapchat account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,1
2012-06-01,0,1
2012-07-01,0,2
2012-08-01,0,3
2012-09-01,0,4
2012-10-01,0,8
2012-11-01,0,26
2012-12-01,0,28
2013-01-01,0,22
2013-02-01,0,13
2013-03-01,0,22
2013-04-01,0,32
2013-05-01,0,28
2013-06-01,0,37
2013-07-01,0,45
2013-08-01,0,40
2013-09-01,1,33
2013-10-01,90,43
2013-11-01,73,38
2013-12-01,84,57
2014-01-01,79,79
2014-02-01,59,49
2014-03-01,55,57
2014-04-01,65,58
2014-05-01,100,78
2014-06-01,54,72
2014-07-01,49,61
2014-08-01,46,59
2014-09-01,68,59
2014-10-01,67,65
2014-11-01,70,70
2014-12-01,70,79
2015-01-01,73,100
2015-02-01,76,65
2015-03-01,72,77
2015-04-01,76,63
2015-05-01,60,55
2015-06-01,76,59
2015-07-01,83,89
2015-08-01,29,88
2015-09-01,24,75
2015-10-01,20,56
2015-11-01,19,63
2015-12-01,26,71
2016-01-01,26,77
2016-02-01,32,71
2016-03-01,32,80
2016-04-01,46,85
2016-05-01,44,99
2016-06-01,41,93
2016-07-01,47,99
2016-08-01,36,89
2016-09-01,32,81
2016-10-01,26,76
2016-11-01,29,75
2016-12-01,35,95
2017-01-01,36,94
