date,how to delete my snapchat story,how to delete a snapchat account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,1
2012-06-01,0,1
2012-07-01,0,2
2012-08-01,0,3
2012-09-01,0,4
2012-10-01,0,8
2012-11-01,0,26
2012-12-01,0,28
2013-01-01,0,22
2013-02-01,0,13
2013-03-01,0,22
2013-04-01,0,32
2013-05-01,0,28
2013-06-01,0,37
2013-07-01,0,45
2013-08-01,0,40
2013-09-01,0,33
2013-10-01,81,43
2013-11-01,43,38
2013-12-01,64,57
2014-01-01,54,79
2014-02-01,45,49
2014-03-01,34,57
2014-04-01,40,58
2014-05-01,65,78
2014-06-01,36,72
2014-07-01,33,61
2014-08-01,29,59
2014-09-01,32,59
2014-10-01,35,65
2014-11-01,33,70
2014-12-01,36,79
2015-01-01,42,100
2015-02-01,56,65
2015-03-01,52,77
2015-04-01,56,63
2015-05-01,51,55
2015-06-01,46,59
2015-07-01,44,89
2015-08-01,16,88
2015-09-01,13,75
2015-10-01,8,56
2015-11-01,11,63
2015-12-01,9,71
2016-01-01,15,77
2016-02-01,18,71
2016-03-01,23,80
2016-04-01,21,85
2016-05-01,21,99
2016-06-01,20,93
2016-07-01,24,99
2016-08-01,21,89
2016-09-01,12,81
2016-10-01,14,76
2016-11-01,15,75
2016-12-01,12,95
2017-01-01,12,94
