date,gmail app security
2011-01-01,14
2011-02-01,31
2011-03-01,22
2011-04-01,16
2011-05-01,26
2011-06-01,22
2011-07-01,18
2011-08-01,15
2011-09-01,25
2011-10-01,29
2011-11-01,33
2011-12-01,27
2012-01-01,21
2012-02-01,15
2012-03-01,14
2012-04-01,13
2012-05-01,39
2012-06-01,23
2012-07-01,19
2012-08-01,44
2012-09-01,17
2012-10-01,21
2012-11-01,26
2012-12-01,31
2013-01-01,41
2013-02-01,32
2013-03-01,33
2013-04-01,27
2013-05-01,45
2013-06-01,36
2013-07-01,44
2013-08-01,30
2013-09-01,44
2013-10-01,32
2013-11-01,47
2013-12-01,48
2014-01-01,42
2014-02-01,50
2014-03-01,46
2014-04-01,51
2014-05-01,19
2014-06-01,30
2014-07-01,57
2014-08-01,56
2014-09-01,47
2014-10-01,62
2014-11-01,68
2014-12-01,58
2015-01-01,70
2015-02-01,61
2015-03-01,57
2015-04-01,57
2015-05-01,62
2015-06-01,53
2015-07-01,56
2015-08-01,63
2015-09-01,71
2015-10-01,84
2015-11-01,79
2015-12-01,82
2016-01-01,82
2016-02-01,59
2016-03-01,72
2016-04-01,77
2016-05-01,54
2016-06-01,75
2016-07-01,66
2016-08-01,73
2016-09-01,69
2016-10-01,71
2016-11-01,76
2016-12-01,100
2017-01-01,77
