date,WhatsApp tips and tricks
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,9
2011-05-01,0
2011-06-01,6
2011-07-01,5
2011-08-01,13
2011-09-01,10
2011-10-01,12
2011-11-01,7
2011-12-01,12
2012-01-01,10
2012-02-01,20
2012-03-01,10
2012-04-01,10
2012-05-01,11
2012-06-01,13
2012-07-01,21
2012-08-01,21
2012-09-01,19
2012-10-01,20
2012-11-01,32
2012-12-01,29
2013-01-01,33
2013-02-01,30
2013-03-01,20
2013-04-01,41
2013-05-01,45
2013-06-01,48
2013-07-01,54
2013-08-01,58
2013-09-01,38
2013-10-01,38
2013-11-01,39
2013-12-01,43
2014-01-01,55
2014-02-01,60
2014-03-01,59
2014-04-01,58
2014-05-01,52
2014-06-01,66
2014-07-01,78
2014-08-01,83
2014-09-01,55
2014-10-01,78
2014-11-01,100
2014-12-01,72
2015-01-01,99
2015-02-01,92
2015-03-01,98
2015-04-01,79
2015-05-01,80
2015-06-01,74
2015-07-01,99
2015-08-01,73
2015-09-01,74
2015-10-01,60
2015-11-01,52
2015-12-01,66
2016-01-01,79
2016-02-01,78
2016-03-01,53
2016-04-01,70
2016-05-01,81
2016-06-01,78
2016-07-01,82
2016-08-01,71
2016-09-01,87
2016-10-01,83
2016-11-01,50
2016-12-01,61
2017-01-01,63
