date,snapchat privacy settings,who can see my snapchat story
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,0
2012-06-01,0,0
2012-07-01,0,0
2012-08-01,0,0
2012-09-01,0,0
2012-10-01,6,0
2012-11-01,6,0
2012-12-01,9,0
2013-01-01,11,0
2013-02-01,6,0
2013-03-01,5,0
2013-04-01,16,0
2013-05-01,5,0
2013-06-01,9,0
2013-07-01,7,0
2013-08-01,15,0
2013-09-01,29,0
2013-10-01,8,33
2013-11-01,12,37
2013-12-01,21,49
2014-01-01,20,38
2014-02-01,20,33
2014-03-01,9,28
2014-04-01,15,38
2014-05-01,20,47
2014-06-01,10,28
2014-07-01,8,49
2014-08-01,13,40
2014-09-01,18,61
2014-10-01,20,32
2014-11-01,11,30
2014-12-01,23,49
2015-01-01,17,32
2015-02-01,19,33
2015-03-01,14,48
2015-04-01,20,53
2015-05-01,13,62
2015-06-01,13,51
2015-07-01,13,100
2015-08-01,17,37
2015-09-01,11,46
2015-10-01,24,41
2015-11-01,27,46
2015-12-01,29,45
2016-01-01,14,56
2016-02-01,24,54
2016-03-01,31,58
2016-04-01,29,75
2016-05-01,22,72
2016-06-01,25,55
2016-07-01,29,64
2016-08-01,26,75
2016-09-01,27,53
2016-10-01,27,67
2016-11-01,25,66
2016-12-01,21,77
2017-01-01,25,80
