date,snapchat video wont open,who can see my snapchat story
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,0
2012-06-01,0,0
2012-07-01,0,0
2012-08-01,0,0
2012-09-01,0,0
2012-10-01,0,0
2012-11-01,0,0
2012-12-01,1,0
2013-01-01,3,0
2013-02-01,1,0
2013-03-01,1,0
2013-04-01,2,0
2013-05-01,4,0
2013-06-01,6,0
2013-07-01,3,0
2013-08-01,1,0
2013-09-01,2,0
2013-10-01,10,6
2013-11-01,22,9
2013-12-01,35,11
2014-01-01,40,9
2014-02-01,32,6
2014-03-01,30,6
2014-04-01,27,12
2014-05-01,100,11
2014-06-01,63,9
2014-07-01,41,13
2014-08-01,31,7
2014-09-01,25,11
2014-10-01,11,10
2014-11-01,7,11
2014-12-01,9,8
2015-01-01,9,9
2015-02-01,8,11
2015-03-01,15,14
2015-04-01,19,14
2015-05-01,15,13
2015-06-01,21,9
2015-07-01,25,24
2015-08-01,28,14
2015-09-01,17,12
2015-10-01,21,12
2015-11-01,20,9
2015-12-01,16,11
2016-01-01,8,14
2016-02-01,6,9
2016-03-01,3,17
2016-04-01,3,19
2016-05-01,4,17
2016-06-01,4,15
2016-07-01,5,20
2016-08-01,5,20
2016-09-01,3,16
2016-10-01,5,19
2016-11-01,13,16
2016-12-01,4,17
2017-01-01,5,23
