date,privacy snapchat,who can see my snapchat story
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,0
2012-06-01,0,0
2012-07-01,1,0
2012-08-01,0,0
2012-09-01,1,0
2012-10-01,2,0
2012-11-01,3,0
2012-12-01,3,0
2013-01-01,3,0
2013-02-01,3,0
2013-03-01,1,0
2013-04-01,3,0
2013-05-01,4,0
2013-06-01,8,0
2013-07-01,6,0
2013-08-01,7,0
2013-09-01,8,0
2013-10-01,7,4
2013-11-01,5,3
2013-12-01,10,5
2014-01-01,16,3
2014-02-01,9,4
2014-03-01,10,3
2014-04-01,11,3
2014-05-01,20,5
2014-06-01,10,3
2014-07-01,10,5
2014-08-01,10,3
2014-09-01,15,5
2014-10-01,14,3
2014-11-01,28,4
2014-12-01,14,4
2015-01-01,13,4
2015-02-01,13,3
2015-03-01,11,4
2015-04-01,11,6
2015-05-01,11,6
2015-06-01,11,5
2015-07-01,10,11
2015-08-01,13,4
2015-09-01,15,4
2015-10-01,36,4
2015-11-01,100,5
2015-12-01,17,5
2016-01-01,14,6
2016-02-01,15,6
2016-03-01,28,7
2016-04-01,24,8
2016-05-01,23,7
2016-06-01,20,6
2016-07-01,24,8
2016-08-01,19,9
2016-09-01,20,5
2016-10-01,27,6
2016-11-01,22,7
2016-12-01,19,8
2017-01-01,24,8
