date,Twitter privacy policy
2011-01-01,34
2011-02-01,46
2011-03-01,37
2011-04-01,35
2011-05-01,42
2011-06-01,57
2011-07-01,49
2011-08-01,53
2011-09-01,48
2011-10-01,56
2011-11-01,41
2011-12-01,28
2012-01-01,41
2012-02-01,93
2012-03-01,55
2012-04-01,46
2012-05-01,82
2012-06-01,37
2012-07-01,51
2012-08-01,83
2012-09-01,64
2012-10-01,56
2012-11-01,69
2012-12-01,49
2013-01-01,57
2013-02-01,79
2013-03-01,85
2013-04-01,92
2013-05-01,61
2013-06-01,62
2013-07-01,47
2013-08-01,49
2013-09-01,37
2013-10-01,57
2013-11-01,66
2013-12-01,47
2014-01-01,54
2014-02-01,87
2014-03-01,76
2014-04-01,63
2014-05-01,69
2014-06-01,67
2014-07-01,46
2014-08-01,60
2014-09-01,74
2014-10-01,73
2014-11-01,77
2014-12-01,47
2015-01-01,71
2015-02-01,67
2015-03-01,73
2015-04-01,75
2015-05-01,70
2015-06-01,69
2015-07-01,78
2015-08-01,57
2015-09-01,75
2015-10-01,100
2015-11-01,73
2015-12-01,63
2016-01-01,64
2016-02-01,68
2016-03-01,39
2016-04-01,75
2016-05-01,41
2016-06-01,68
2016-07-01,55
2016-08-01,71
2016-09-01,100
2016-10-01,67
2016-11-01,85
2016-12-01,59
2017-01-01,67
